,date,open,high,low,close,volume,average,barCount
0,2021-02-23 09:30:00,123.76,123.79,121.45,121.97,109152.81,123.008,39063
1,2021-02-23 09:40:00,121.97,122.33,118.39,119.81,97033.37,120.613,43158
2,2021-02-23 09:50:00,119.83,121.9,119.5,121.73,68871.45,120.926,27049
3,2021-02-23 10:00:00,121.72,122.45,121.4,122.29,50934.06,121.983,21467
4,2021-02-23 10:10:00,122.29,122.44,121.54,122.3,43001.5,122.037,18094
5,2021-02-23 10:20:00,122.29,123.22,121.89,123.21,38933.87,122.694,16182
6,2021-02-23 10:30:00,123.2,123.23,122.57,122.88,28820.09,122.828,13190
7,2021-02-23 10:40:00,122.88,123.93,122.85,123.73,34130.18,123.376,14798
8,2021-02-23 10:50:00,123.73,123.91,123.39,123.63,30031.48,123.688,14155
9,2021-02-23 11:00:00,123.64,124.12,123.43,123.95,29146.7,123.836,13731
10,2021-02-23 11:10:00,123.95,124.07,123.25,123.32,25461.77,123.708,12202
11,2021-02-23 11:20:00,123.32,123.36,122.81,123.03,23844.77,123.06,11356
12,2021-02-23 11:30:00,123.01,123.25,122.61,122.81,23916.86,122.92,10981
13,2021-02-23 11:40:00,122.81,122.89,122.18,122.19,19913.39,122.497,9582
14,2021-02-23 11:50:00,122.18,122.48,122.02,122.13,18666.13,122.223,8786
15,2021-02-23 12:00:00,122.12,122.12,121.37,121.57,28437.42,121.719,11977
16,2021-02-23 12:10:00,121.57,122.07,121.31,122.07,26028.06,121.597,10630
17,2021-02-23 12:20:00,122.06,122.54,121.78,122.42,21523.72,122.165,8231
18,2021-02-23 12:30:00,122.42,122.64,121.71,121.74,19435.13,122.211,8383
19,2021-02-23 12:40:00,121.73,122.44,121.5,121.7,20082.22,121.678,8028
20,2021-02-23 12:50:00,121.7,122.81,121.57,122.15,35146.75,122.327,14173
21,2021-02-23 13:00:00,122.14,122.78,121.92,122.74,22210.84,122.49,10297
22,2021-02-23 13:10:00,122.73,123.25,122.63,123.12,20076.26,123.016,8122
23,2021-02-23 13:20:00,123.12,123.75,123.02,123.54,21535.11,123.465,9202
24,2021-02-23 13:30:00,123.56,124.25,123.46,124.13,24226.89,123.928,10233
25,2021-02-23 13:40:00,124.13,124.2,123.69,123.84,19709.72,123.922,8983
26,2021-02-23 13:50:00,123.85,124.6,123.68,124.41,21873.71,124.142,8838
27,2021-02-23 14:00:00,124.4,124.99,124.19,124.96,23892.89,124.641,10115
28,2021-02-23 14:10:00,124.97,125.12,124.67,124.95,27093.16,124.934,12281
29,2021-02-23 14:20:00,124.96,125.2,124.69,124.75,20332.72,124.991,9404
30,2021-02-23 14:30:00,124.77,124.99,124.4,124.48,18560.41,124.673,8658
31,2021-02-23 14:40:00,124.48,125.1,124.46,125.04,15493.97,124.807,7105
32,2021-02-23 14:50:00,125.03,125.65,125.0,125.63,23012.61,125.294,10269
33,2021-02-23 15:00:00,125.65,126.24,125.47,126.1,27514.09,125.78,11381
34,2021-02-23 15:10:00,126.11,126.54,125.96,126.38,30948.95,126.309,13432
35,2021-02-23 15:20:00,126.37,126.7,126.17,126.65,27137.77,126.463,12497
36,2021-02-23 15:30:00,126.64,126.71,126.12,126.29,24419.92,126.41,11811
37,2021-02-23 15:40:00,126.3,126.42,125.89,126.27,25086.37,126.208,13015
38,2021-02-23 15:50:00,126.29,126.31,125.66,125.85,42998.31,125.96,22867
39,2021-02-24 09:30:00,124.95,125.35,123.6,124.11,71174.41,124.414,25425
40,2021-02-24 09:40:00,124.11,124.39,123.58,124.05,38936.41,124.024,18679
41,2021-02-24 09:50:00,124.05,124.2,123.21,123.36,43233.28,123.669,21043
42,2021-02-24 10:00:00,123.37,123.43,122.23,122.97,54148.25,122.774,24165
43,2021-02-24 10:10:00,122.97,123.5,122.72,123.45,30392.03,123.122,13897
44,2021-02-24 10:20:00,123.45,124.08,123.35,124.02,30623.87,123.809,13387
45,2021-02-24 10:30:00,124.02,124.28,123.51,123.79,24104.12,123.882,10864
46,2021-02-24 10:40:00,123.78,123.94,123.5,123.91,18053.88,123.75,8467
47,2021-02-24 10:50:00,123.9,124.48,123.6,124.26,21158.08,124.079,8993
48,2021-02-24 11:00:00,124.26,124.43,123.95,123.99,24250.78,124.163,10998
49,2021-02-24 11:10:00,123.99,124.68,123.98,124.6,18167.37,124.427,7848
50,2021-02-24 11:20:00,124.61,124.93,124.52,124.56,19692.19,124.713,7540
51,2021-02-24 11:30:00,124.56,124.88,124.56,124.72,12944.96,124.754,5171
52,2021-02-24 11:40:00,124.72,124.78,124.15,124.72,18911.7,124.432,7367
53,2021-02-24 11:50:00,124.72,124.92,124.43,124.53,16616.49,124.692,6488
54,2021-02-24 12:00:00,124.52,125.05,124.52,124.84,19870.43,124.863,7785
55,2021-02-24 12:10:00,124.84,124.99,124.66,124.99,14706.37,124.821,6150
56,2021-02-24 12:20:00,124.98,125.11,124.82,125.11,14496.11,124.956,6024
57,2021-02-24 12:30:00,125.11,125.14,124.95,125.02,15361.56,125.033,5801
