,date,open,high,low,close,volume,average,barCount
0,2021-02-23,123.76,126.71,118.39,125.86,1228635.43,123.2305,533726
1,2021-02-24,124.95,125.56,122.23,125.35,862868.85,124.324,369294
2,2021-02-25,124.64,126.46,120.54,120.99,1126550.73,122.7855,515002
3,2021-02-26,122.59,124.85,121.25,121.26,1130315.48,123.2865,517275
4,2021-03-01,123.77,127.93,122.79,127.79,873562.06,125.885,367494
5,2021-03-02,128.4,128.72,125.01,125.12,768389.73,126.206,336007
6,2021-03-03,124.77,125.71,121.84,122.06,824525.31,123.525,402738
7,2021-03-04,121.73,123.6,118.62,120.13,1307499.0,120.8615,616931
8,2021-03-05,121.0,121.94,117.57,121.42,1169002.82,119.679,562651
9,2021-03-08,120.97,121.0,116.21,116.36,1151894.94,118.0635,538779
10,2021-03-09,119.01,122.05,118.79,121.085,950051.96,120.7265,425384
11,2021-03-10,121.54,122.17,119.45,119.98,866916.17,120.334,412458
12,2021-03-11,122.31,123.21,121.26,121.96,780117.89,122.0715,331702
13,2021-03-12,120.39,121.17,119.16,121.03,696196.76,120.19,307854
14,2021-03-15,121.39,124.0,120.42,123.99,677428.17,122.837,284551
15,2021-03-16,125.71,127.22,124.71,125.57,926740.23,125.978,376275
16,2021-03-17,124.07,125.86,122.33,124.76,880152.35,123.6865,387946
17,2021-03-18,122.85,123.18,120.32,120.53,906111.84,121.736,406621
18,2021-03-19,119.9,121.43,119.67,119.99,962692.97,120.332,399731
19,2021-03-22,120.31,123.87,120.26,123.39,779660.29,122.738,346229
20,2021-03-23,123.31,124.24,122.14,122.54,722994.88,123.044,309474
21,2021-03-24,122.79,122.9,120.06,120.09,685648.79,121.314,303583
22,2021-03-25,119.59,121.66,119.0,120.59,775755.11,120.2395,363717
23,2021-03-26,120.39,121.48,118.92,121.21,734047.96,120.137,324316
24,2021-03-29,121.65,122.58,120.72,121.39,611254.37,121.462,284935
25,2021-03-30,120.1,120.41,118.86,119.9,671516.32,119.68,295425
26,2021-03-31,121.65,123.52,121.15,122.15,842142.66,122.715,381490
27,2021-04-01,123.64,124.18,122.49,123.0,581427.15,123.1615,244772
28,2021-04-05,123.76,126.17,123.07,125.9,694532.88,125.2985,289182
29,2021-04-06,126.53,127.13,125.65,126.21,628691.36,126.3865,261015
30,2021-04-07,125.82,127.92,125.14,127.9,670444.83,127.0465,275540
31,2021-04-08,128.96,130.39,128.52,130.36,706328.04,129.701,298593
32,2021-04-09,129.9,133.04,129.47,132.995,841572.65,131.5915,338974
33,2021-04-12,132.58,132.85,130.63,131.24,682726.86,131.545,271534
34,2021-04-13,132.51,134.66,131.93,134.43,708533.19,133.706,281730
35,2021-04-14,134.94,135.0,131.65,132.03,673762.8,133.102,284897
36,2021-04-15,133.85,135.0,133.64,134.5,660908.15,134.391,274830
37,2021-04-16,134.3,134.67,133.28,134.16,602072.31,134.001,229817
38,2021-04-19,133.47,135.47,133.34,134.84,655987.94,134.5585,275309
39,2021-04-20,135.02,135.53,131.81,133.11,764770.03,133.4605,325441
40,2021-04-21,132.39,133.75,131.3,133.5,544977.37,132.799,234498
41,2021-04-22,133.04,134.15,131.41,131.94,672398.4,132.8605,291847
42,2021-04-23,132.16,135.12,132.16,134.32,619633.11,134.153,258175
43,2021-04-26,134.83,135.06,133.56,134.72,496720.28,134.5155,207121
44,2021-04-27,135.04,135.41,134.11,134.39,526462.11,134.592,216861
45,2021-04-28,134.31,135.01,133.08,133.58,713886.79,134.036,300592
46,2021-04-29,136.46,137.07,132.45,133.48,1204414.43,134.1365,497373
47,2021-04-30,131.8,133.56,131.06,131.46,751062.73,132.333,325291
48,2021-05-03,132.01,134.07,131.83,132.54,598473.66,132.8535,266025
49,2021-05-04,131.18,131.49,126.7,127.85,1053019.41,127.852,471743
50,2021-05-05,129.21,130.45,127.97,128.1,671485.98,129.3325,299136
51,2021-05-06,127.9,129.75,127.13,129.74,615732.53,128.518,288085
52,2021-05-07,130.88,131.26,129.47,130.21,565760.13,130.45,258234
53,2021-05-10,129.4,129.54,126.81,126.85,653381.85,127.9585,294984
54,2021-05-11,123.49,126.27,122.77,125.91,892539.05,124.8205,412594
55,2021-05-12,123.3,124.64,122.25,122.77,838148.47,123.084,394143
56,2021-05-13,124.59,126.15,124.26,124.97,841812.44,125.254,376863
