,date,open,high,low,close,volume,average,barCount
0,2021-02-23 09:30:00,123.76,123.79,118.39,121.73,275057.63,121.642,109270
1,2021-02-23 10:00:00,121.72,123.93,121.4,123.63,225851.18,122.661,97886
2,2021-02-23 11:00:00,123.64,124.12,122.02,122.13,140949.62,123.123,66638
3,2021-02-23 12:00:00,122.12,122.81,121.31,122.15,150653.3,121.962,61422
4,2021-02-23 13:00:00,122.14,124.6,121.92,124.41,129632.53,123.499,55675
5,2021-02-23 14:00:00,124.4,125.65,124.19,125.63,128385.76,124.9,57832
6,2021-02-23 15:00:00,125.65,126.71,125.47,125.85,178105.41,126.166,85003
7,2021-02-24 09:30:00,124.95,125.35,123.21,123.36,153344.1,124.105,65147
8,2021-02-24 10:00:00,123.37,124.48,122.23,124.26,178480.23,123.414,79773
9,2021-02-24 11:00:00,124.26,124.93,123.95,124.53,110583.49,124.499,45412
10,2021-02-24 12:00:00,124.52,125.14,124.41,124.43,95122.21,124.847,37990
11,2021-02-24 13:00:00,124.44,125.19,123.95,124.93,102941.05,124.562,42830
12,2021-02-24 14:00:00,124.92,124.99,124.28,124.46,73106.47,124.536,32066
13,2021-02-24 15:00:00,124.46,125.56,124.21,125.32,149291.3,124.907,66076
14,2021-02-25 09:30:00,124.64,126.46,124.21,124.63,123040.62,125.318,50188
15,2021-02-25 10:00:00,124.63,124.66,123.13,124.0,176553.51,123.87,79731
16,2021-02-25 11:00:00,123.99,124.23,122.45,122.59,128887.73,123.338,59635
17,2021-02-25 12:00:00,122.59,122.89,121.26,121.28,166165.01,122.226,81446
18,2021-02-25 13:00:00,121.28,122.65,120.75,122.19,161895.71,121.951,77094
19,2021-02-25 14:00:00,122.18,123.43,121.99,122.06,122996.47,122.734,54311
20,2021-02-25 15:00:00,122.05,122.29,120.54,121.0,247011.68,121.409,112597
21,2021-02-26 09:30:00,122.59,123.95,122.0,122.32,157311.06,122.911,66442
22,2021-02-26 10:00:00,122.32,124.12,121.29,123.84,240999.18,122.514,113543
23,2021-02-26 11:00:00,123.84,124.48,123.0,124.36,149758.76,123.839,68902
24,2021-02-26 12:00:00,124.35,124.76,123.58,123.68,109903.94,124.174,49229
25,2021-02-26 13:00:00,123.69,124.35,122.76,123.07,102809.78,123.562,48232
26,2021-02-26 14:00:00,123.07,123.69,122.78,123.59,112748.38,123.221,52304
27,2021-02-26 15:00:00,123.59,124.85,121.25,121.25,256784.38,123.459,118623
28,2021-03-01 09:30:00,123.77,124.84,122.79,124.81,161628.58,123.82,65396
29,2021-03-01 10:00:00,124.82,125.72,124.5,125.61,154152.53,125.066,65945
30,2021-03-01 11:00:00,125.63,126.6,125.42,126.54,124677.02,125.968,50090
31,2021-03-01 12:00:00,126.54,126.62,125.83,126.16,89246.56,126.201,38269
32,2021-03-01 13:00:00,126.17,126.56,125.67,126.35,73015.78,126.167,30682
33,2021-03-01 14:00:00,126.36,127.75,126.27,127.58,116461.06,127.111,47682
34,2021-03-01 15:00:00,127.59,127.93,127.27,127.79,154380.53,127.556,69430
35,2021-03-02 09:30:00,128.4,128.72,126.19,126.73,145886.77,127.082,65554
36,2021-03-02 10:00:00,126.73,127.2,125.73,126.13,141310.21,126.448,63441
37,2021-03-02 11:00:00,126.13,126.45,125.46,125.82,108479.08,125.851,47973
38,2021-03-02 12:00:00,125.82,126.68,125.72,126.17,83316.16,126.183,34993
39,2021-03-02 13:00:00,126.17,126.42,125.95,125.98,63274.44,126.202,27208
40,2021-03-02 14:00:00,125.98,126.21,125.58,126.02,76467.95,125.848,32482
41,2021-03-02 15:00:00,126.02,126.32,125.01,125.16,149655.12,125.579,64356
42,2021-03-03 09:30:00,124.77,125.71,123.75,124.0,121244.19,124.567,54387
43,2021-03-03 10:00:00,124.0,124.7,123.11,124.63,156444.52,123.875,80505
44,2021-03-03 11:00:00,124.63,124.94,124.02,124.06,85521.88,124.527,41490
45,2021-03-03 12:00:00,124.06,124.47,123.45,123.47,78355.8,123.932,36793
46,2021-03-03 13:00:00,123.47,124.17,122.93,123.14,92529.54,123.496,44970
47,2021-03-03 14:00:00,123.15,123.21,121.84,122.81,135091.48,122.527,66584
48,2021-03-03 15:00:00,122.81,122.98,122.0,122.06,155337.9,122.486,78009
49,2021-03-04 09:30:00,121.73,123.6,120.59,120.96,161622.88,121.922,72343
50,2021-03-04 10:00:00,120.93,123.0,120.32,122.83,214629.78,121.494,103433
51,2021-03-04 11:00:00,122.82,123.28,121.97,122.54,125161.95,122.625,57079
52,2021-03-04 12:00:00,122.55,123.05,119.76,120.39,195463.37,121.194,94622
53,2021-03-04 13:00:00,120.4,120.71,118.69,118.75,200089.75,119.872,97630
