,date
0,2022-07-28
1,2022-04-28
2,2022-01-27
3,2021-10-28
4,2021-07-27
5,2021-04-28
6,2021-01-27
7,2020-10-29
8,2020-07-30
9,2020-04-30
10,2020-01-28
11,2019-10-30
12,2019-07-30
13,2019-04-30
14,2019-01-29
15,2018-11-01
16,2018-07-31
17,2018-05-01
18,2018-02-01
19,2017-11-02
20,2017-08-01
21,2017-05-02
22,2017-01-31
23,2016-10-25
24,2016-07-26
25,2016-04-26
26,2016-01-26
27,2015-10-27
28,2015-07-21
29,2015-04-27
30,2015-01-27
31,2014-10-20
32,2014-07-22
33,2014-04-23
34,2014-01-27
35,2013-10-28
36,2013-07-23
37,2013-04-23
38,2013-01-23
39,2012-10-25
40,2012-07-24
41,2012-04-24
42,2012-01-24
43,2011-10-18
44,2011-07-19
45,2011-04-20
46,2011-01-18
47,2010-10-18
48,2010-07-20
49,2010-04-20
50,2010-01-25
51,2009-10-19
52,2009-07-21
53,2009-04-22
54,2009-01-21
55,2008-10-21
56,2008-07-21
57,2008-04-23
58,2008-01-22
59,2007-10-22
60,2007-07-25
61,2007-04-25
62,2007-01-17
63,2006-10-18
64,2006-07-19
65,2006-04-19
66,2006-01-18
67,2005-10-11
68,2005-07-13
69,2005-04-13
70,2005-01-12
71,2004-10-13
72,2004-07-14
73,2004-04-14
74,2004-01-14
75,2003-10-15
76,2003-07-16
77,2003-04-16
78,2003-01-15
79,2002-10-16
80,2002-07-16
81,2002-01-16
82,2001-04-18
83,2000-10-18
84,2000-07-18
85,2000-04-19
86,2000-01-19
87,1999-10-13
88,1999-07-14
89,1999-04-14
90,1999-01-13
91,1998-10-14
92,1998-07-15
93,1998-04-15
94,1998-01-14
95,1997-10-15
96,1997-07-16
97,1997-04-16
