,exp,k
0,20220812,70.0
1,20220812,75.0
2,20220812,80.0
3,20220812,85.0
4,20220812,90.0
5,20220812,95.0
6,20220812,100.0
7,20220812,105.0
8,20220812,110.0
9,20220812,115.0
10,20220812,120.0
11,20220812,125.0
12,20220812,128.0
13,20220812,129.0
14,20220812,130.0
15,20220812,131.0
16,20220812,132.0
17,20220812,133.0
18,20220812,134.0
19,20220812,135.0
20,20220812,136.0
21,20220812,137.0
22,20220812,138.0
23,20220812,139.0
24,20220812,140.0
25,20220812,141.0
26,20220812,142.0
27,20220812,143.0
28,20220812,144.0
29,20220812,145.0
30,20220812,146.0
31,20220812,147.0
32,20220812,148.0
33,20220812,149.0
34,20220812,150.0
35,20220812,152.5
36,20220812,155.0
37,20220812,157.5
38,20220812,160.0
39,20220812,162.5
40,20220812,165.0
41,20220812,167.5
42,20220812,170.0
43,20220812,172.5
44,20220812,175.0
45,20220812,177.5
46,20220812,180.0
47,20220812,182.5
48,20220812,185.0
49,20220812,187.5
50,20220812,190.0
51,20220812,192.5
52,20220812,195.0
53,20220812,197.5
54,20220812,200.0
55,20220812,205.0
56,20220812,210.0
57,20220812,215.0
58,20220812,220.0
59,20220812,225.0
60,20220812,230.0
61,20220812,235.0
62,20220812,240.0
63,20220812,245.0
64,20220812,250.0
65,20220819,30.0
66,20220819,35.0
67,20220819,40.0
68,20220819,45.0
69,20220819,50.0
70,20220819,55.0
71,20220819,60.0
72,20220819,65.0
73,20220819,70.0
74,20220819,75.0
75,20220819,80.0
76,20220819,85.0
77,20220819,90.0
78,20220819,95.0
79,20220819,100.0
80,20220819,105.0
81,20220819,110.0
82,20220819,115.0
83,20220819,120.0
84,20220819,125.0
85,20220819,130.0
86,20220819,135.0
87,20220819,137.0
88,20220819,138.0
89,20220819,139.0
90,20220819,140.0
91,20220819,141.0
92,20220819,142.0
93,20220819,143.0
94,20220819,144.0
95,20220819,145.0
96,20220819,146.0
97,20220819,147.0
98,20220819,148.0
99,20220819,149.0
100,20220819,150.0
101,20220819,152.5
102,20220819,155.0
103,20220819,157.5
104,20220819,160.0
105,20220819,162.5
106,20220819,165.0
107,20220819,167.5
108,20220819,170.0
109,20220819,172.5
110,20220819,175.0
111,20220819,177.5
112,20220819,180.0
113,20220819,182.5
114,20220819,185.0
115,20220819,187.5
116,20220819,190.0
117,20220819,192.5
118,20220819,195.0
119,20220819,197.5
120,20220819,200.0
121,20220819,205.0
122,20220819,210.0
123,20220819,215.0
124,20220819,220.0
125,20220819,225.0
126,20220819,230.0
127,20220819,235.0
128,20220819,240.0
129,20220819,245.0
130,20220819,250.0
131,20220819,255.0
132,20220819,260.0
133,20220826,70.0
134,20220826,75.0
135,20220826,80.0
136,20220826,85.0
137,20220826,90.0
138,20220826,95.0
139,20220826,100.0
140,20220826,105.0
141,20220826,110.0
142,20220826,115.0
143,20220826,120.0
144,20220826,125.0
145,20220826,128.0
146,20220826,129.0
147,20220826,130.0
148,20220826,131.0
149,20220826,132.0
150,20220826,133.0
151,20220826,134.0
152,20220826,135.0
153,20220826,136.0
154,20220826,137.0
155,20220826,138.0
156,20220826,139.0
157,20220826,140.0
158,20220826,141.0
159,20220826,142.0
160,20220826,143.0
161,20220826,144.0
162,20220826,145.0
163,20220826,146.0
164,20220826,147.0
165,20220826,148.0
166,20220826,149.0
167,20220826,150.0
168,20220826,152.5
169,20220826,155.0
170,20220826,157.5
171,20220826,160.0
172,20220826,162.5
173,20220826,165.0
174,20220826,167.5
175,20220826,170.0
176,20220826,172.5
177,20220826,175.0
178,20220826,177.5
179,20220826,180.0
180,20220826,182.5
181,20220826,185.0
182,20220826,187.5
183,20220826,190.0
184,20220826,192.5
185,20220826,195.0
186,20220826,197.5
187,20220826,200.0
188,20220826,205.0
189,20220826,210.0
190,20220826,215.0
191,20220826,220.0
192,20220826,225.0
193,20220826,230.0
194,20220826,235.0
195,20220826,240.0
196,20220826,245.0
197,20220826,250.0
198,20220902,70.0
199,20220902,75.0
200,20220902,80.0
201,20220902,85.0
202,20220902,90.0
203,20220902,95.0
