,date
0,2022-07-28
1,2022-04-28
2,2022-02-03
3,2021-10-28
4,2021-07-29
5,2021-04-29
6,2021-02-02
7,2020-10-29
8,2020-07-30
9,2020-04-30
10,2020-01-30
11,2019-10-24
12,2019-07-25
13,2019-04-25
14,2019-01-31
15,2018-10-25
16,2018-07-26
17,2018-04-26
18,2018-02-01
19,2017-10-26
20,2017-07-27
21,2017-04-27
22,2017-02-02
23,2016-10-27
24,2016-07-28
25,2016-04-28
26,2016-01-28
27,2015-10-22
28,2015-07-23
29,2015-04-23
30,2015-01-29
31,2014-10-23
32,2014-07-24
33,2014-04-24
34,2014-01-30
35,2013-10-24
36,2013-07-25
37,2013-04-25
38,2013-01-29
39,2012-10-25
40,2012-07-26
41,2012-04-26
42,2012-01-31
43,2011-10-25
44,2011-07-26
45,2011-04-26
46,2011-01-27
47,2010-10-21
48,2010-07-22
49,2010-04-22
50,2010-01-28
51,2009-10-22
52,2009-07-23
53,2009-04-23
54,2009-01-29
55,2008-10-22
56,2008-07-23
57,2008-04-23
58,2008-01-30
59,2007-10-23
60,2007-07-24
61,2007-04-24
62,2007-02-01
63,2006-10-24
64,2006-07-25
65,2006-04-25
66,2006-02-02
67,2005-10-25
68,2005-07-26
69,2005-04-26
70,2005-02-02
71,2004-10-21
72,2004-07-22
73,2004-04-22
74,2004-01-27
75,2003-10-21
76,2003-07-22
77,2003-04-24
78,2003-01-23
79,2002-10-24
80,2002-07-23
81,2002-04-23
82,2002-01-22
83,2001-10-23
84,2001-07-23
85,2001-04-24
86,2001-01-30
87,2000-10-24
88,2000-07-26
89,2000-04-26
90,2000-02-02
91,1999-10-27
92,1999-07-21
93,1999-04-28
94,1999-01-26
95,1998-10-28
96,1998-07-22
97,1998-04-27
