,exp,k
0,20220812,55.0
1,20220812,60.0
2,20220812,65.0
3,20220812,70.0
4,20220812,75.0
5,20220812,80.0
6,20220812,85.0
7,20220812,90.0
8,20220812,95.0
9,20220812,99.0
10,20220812,100.0
11,20220812,101.0
12,20220812,102.0
13,20220812,103.0
14,20220812,104.0
15,20220812,105.0
16,20220812,106.0
17,20220812,107.0
18,20220812,108.0
19,20220812,109.0
20,20220812,110.0
21,20220812,111.0
22,20220812,112.0
23,20220812,113.0
24,20220812,114.0
25,20220812,115.0
26,20220812,116.0
27,20220812,117.0
28,20220812,118.0
29,20220812,119.0
30,20220812,120.0
31,20220812,121.0
32,20220812,122.0
33,20220812,123.0
34,20220812,124.0
35,20220812,125.0
36,20220812,126.0
37,20220812,127.0
38,20220812,128.0
39,20220812,129.0
40,20220812,130.0
41,20220812,131.0
42,20220812,132.0
43,20220812,133.0
44,20220812,134.0
45,20220812,135.0
46,20220812,136.0
47,20220812,137.0
48,20220812,138.0
49,20220812,139.0
50,20220812,140.0
51,20220812,141.0
52,20220812,142.0
53,20220812,143.0
54,20220812,144.0
55,20220812,145.0
56,20220812,146.0
57,20220812,147.0
58,20220812,148.0
59,20220812,149.0
60,20220812,150.0
61,20220812,152.5
62,20220812,155.0
63,20220812,157.5
64,20220812,160.0
65,20220812,162.5
66,20220812,165.0
67,20220812,170.0
68,20220812,175.0
69,20220812,180.0
70,20220812,185.0
71,20220812,190.0
72,20220812,195.0
73,20220812,200.0
74,20220819,52.0
75,20220819,53.0
76,20220819,54.0
77,20220819,55.0
78,20220819,56.0
79,20220819,57.0
80,20220819,58.0
81,20220819,59.0
82,20220819,60.0
83,20220819,61.0
84,20220819,62.0
85,20220819,63.0
86,20220819,64.0
87,20220819,65.0
88,20220819,66.0
89,20220819,67.0
90,20220819,68.0
91,20220819,69.0
92,20220819,70.0
93,20220819,71.0
94,20220819,72.0
95,20220819,73.0
96,20220819,74.0
97,20220819,75.0
98,20220819,76.0
99,20220819,77.0
100,20220819,78.0
101,20220819,79.0
102,20220819,80.0
103,20220819,81.0
104,20220819,82.0
105,20220819,83.0
106,20220819,84.0
107,20220819,85.0
108,20220819,86.0
109,20220819,87.0
110,20220819,88.0
111,20220819,89.0
112,20220819,90.0
113,20220819,91.0
114,20220819,92.0
115,20220819,93.0
116,20220819,94.0
117,20220819,95.0
118,20220819,96.0
119,20220819,97.0
120,20220819,98.0
121,20220819,99.0
122,20220819,100.0
123,20220819,102.0
124,20220819,103.0
125,20220819,104.0
126,20220819,105.0
127,20220819,106.0
128,20220819,107.0
129,20220819,107.5
130,20220819,108.0
131,20220819,109.0
132,20220819,110.0
133,20220819,110.5
134,20220819,111.0
