,date,open,high,low,close,volume,average,barCount
0,2021-02-19,269.8,270.27,260.15,261.56,174017.12,263.4955,86827
1,2021-02-22,257.95,263.07,257.53,260.33,105513.89,260.531,58612
2,2021-02-23,259.51,267.46,254.96,265.855,155842.29,262.9865,89926
3,2021-02-24,262.42,266.38,258.39,264.31,102984.15,263.1495,59302
4,2021-02-25,262.29,266.94,254.04,254.69,121554.5,259.614,72527
5,2021-02-26,256.48,265.55,256.47,257.62,151025.66,261.3035,91132
6,2021-03-01,260.93,266.65,257.9,264.91,144444.59,261.902,81686
7,2021-03-02,265.51,266.71,258.65,259.0,94295.49,263.4045,49954
8,2021-03-03,260.48,260.99,255.1,255.41,99052.55,257.627,59168
9,2021-03-04,256.5,266.49,253.5,257.64,216976.44,259.265,127183
10,2021-03-05,260.88,265.45,255.61,264.28,177256.87,260.5045,101488
11,2021-03-08,265.59,265.59,255.05,255.31,114039.87,260.6145,64908
12,2021-03-09,261.22,268.53,259.81,265.74,133362.22,265.208,71608
13,2021-03-10,268.64,268.97,262.87,264.9,89479.57,265.484,51057
14,2021-03-11,267.87,277.9,267.82,273.88,143054.84,274.3385,81134
15,2021-03-12,269.14,269.74,264.02,268.4,136235.27,266.757,81346
16,2021-03-15,269.16,275.96,268.5,273.75,108827.46,272.8515,60970
17,2021-03-16,275.99,282.14,274.8,279.28,150391.83,279.8595,80493
18,2021-03-17,275.93,286.23,275.41,284.01,145440.53,281.356,87108
19,2021-03-18,279.73,285.19,278.28,278.62,119829.21,281.863,72362
20,2021-03-19,281.21,292.8,281.19,290.11,255708.49,288.717,135166
21,2021-03-22,290.45,299.71,286.75,293.54,186085.31,295.1985,93819
22,2021-03-23,293.15,298.0,289.81,290.63,149785.73,294.2595,78602
23,2021-03-24,291.0,291.72,281.16,282.14,126718.52,286.557,70963
24,2021-03-25,281.11,288.06,277.75,278.74,158579.24,281.834,94687
25,2021-03-26,278.73,284.5,277.77,283.02,108340.27,281.2505,63319
26,2021-03-29,286.0,293.18,284.7,290.82,147187.79,289.456,78368
27,2021-03-30,289.76,292.47,286.7,288.0,120456.13,289.564,64002
28,2021-03-31,290.0,296.5,288.61,294.53,118272.82,294.1425,63534
29,2021-04-01,298.69,302.4,296.6,298.66,120750.94,299.301,66464
30,2021-04-05,300.89,310.77,300.68,308.91,193484.47,307.3445,102516
31,2021-04-06,308.52,311.35,305.25,306.26,115800.66,307.4795,62933
32,2021-04-07,306.33,314.25,305.5,313.09,169307.98,311.19,82357
33,2021-04-08,314.84,315.88,310.05,313.02,147648.55,312.2825,78229
34,2021-04-09,311.37,314.74,310.33,312.46,107943.41,312.287,54939
35,2021-04-12,311.02,312.15,307.93,311.54,66737.84,310.3635,38554
36,2021-04-13,312.33,314.43,309.32,309.76,83269.39,311.92,45505
37,2021-04-14,307.37,308.03,301.95,302.82,106180.68,304.3205,57288
38,2021-04-15,306.34,310.14,304.1,307.82,96470.22,307.736,52144
39,2021-04-16,308.26,308.95,304.61,306.18,74390.51,306.087,38895
40,2021-04-19,304.93,307.7,300.56,302.24,89961.02,302.943,49448
41,2021-04-20,301.99,305.1,297.21,302.65,117318.49,301.414,59599
42,2021-04-21,301.93,301.98,297.39,301.47,99436.61,299.518,54162
43,2021-04-22,301.33,302.92,296.04,296.52,104820.76,299.64,57173
44,2021-04-23,298.63,302.59,297.15,301.13,120721.98,300.1505,62742
45,2021-04-26,303.34,305.8,301.56,303.04,112753.58,303.288,55428
46,2021-04-27,304.28,305.34,301.11,303.57,101664.45,303.974,54708
47,2021-04-28,307.36,310.92,305.37,307.1,193707.71,307.843,112224
48,2021-04-29,330.17,331.81,321.61,329.51,407854.11,326.676,200867
49,2021-04-30,326.18,329.82,324.5,325.08,174359.05,326.486,89303
50,2021-05-03,326.17,328.55,321.84,322.58,122997.7,324.513,68483
51,2021-05-04,320.02,322.19,313.12,318.36,154760.57,315.789,80830
52,2021-05-05,318.17,321.06,314.49,315.02,98196.01,317.678,52261
53,2021-05-06,314.52,320.24,313.27,320.02,128294.99,317.2105,67059
54,2021-05-07,322.57,322.94,318.75,319.08,103429.31,320.561,61139
55,2021-05-10,314.35,314.67,304.83,305.97,165774.68,307.982,89580
56,2021-05-11,300.75,306.84,299.69,306.53,119175.13,303.7685,70550
57,2021-05-12,300.93,304.96,298.19,302.55,154124.4,301.842,87989
58,2021-05-13,306.09,308.86,302.77,305.26,111794.73,305.811,61157
59,2021-05-14,309.54,316.85,309.08,315.94,134799.81,313.84,69510
60,2021-05-17,313.69,315.68,311.58,315.46,92936.97,313.751,51322
61,2021-05-18,315.69,316.5,309.81,309.96,98650.96,313.6965,51143
62,2021-05-19,304.0,314.66,303.57,313.59,120777.21,310.16,63297
63,2021-05-20,313.57,319.25,313.16,318.61,103654.58,317.365,60100
64,2021-05-21,319.29,319.93,315.81,316.23,88097.65,317.7255,50411
65,2021-05-24,318.21,325.95,318.03,324.63,106887.83,324.064,57583
66,2021-05-25,327.06,329.18,324.8,327.79,112913.54,327.515,54271
67,2021-05-26,328.2,329.83,325.82,327.66,62406.46,327.544,35205
68,2021-05-27,327.77,333.78,326.76,332.75,100819.55,330.791,56531
69,2021-05-28,331.0,332.87,328.33,328.73,73160.04,330.4675,42210
70,2021-06-01,330.09,331.42,326.64,329.13,71613.86,328.973,41008
71,2021-06-02,330.59,331.87,327.12,329.15,75920.61,329.524,38587
72,2021-06-03,325.79,327.38,323.48,326.04,83078.71,325.7005,44133
73,2021-06-04,325.9,332.46,325.18,330.35,85910.18,329.9575,43457
74,2021-06-07,329.89,337.69,328.93,336.58,135760.44,334.29,61945
75,2021-06-08,336.76,338.3,332.24,333.68,97623.93,334.529,51182
76,2021-06-09,335.67,336.8,330.0,330.25,89955.88,333.0805,46336
77,2021-06-10,330.44,333.94,328.54,332.46,89998.6,331.5455,44656
78,2021-06-11,332.58,332.83,328.93,331.26,78318.24,330.5395,36806
79,2021-06-14,331.9,336.82,329.81,336.77,81948.95,334.685,38945
80,2021-06-15,336.96,339.92,335.03,336.75,105751.61,336.9945,57866
81,2021-06-16,336.61,337.55,328.72,331.08,112835.85,333.1715,62197
82,2021-06-17,330.48,337.98,330.15,336.51,112104.11,335.447,58340
83,2021-06-18,334.63,336.15,329.0,329.66,123378.45,332.474,58574
84,2021-06-21,330.75,332.92,327.65,332.29,69560.9,331.199,37825
85,2021-06-22,332.69,339.92,332.6,339.03,100173.05,336.2445,49946
86,2021-06-23,339.35,343.42,338.2,340.59,97492.04,341.0615,49289
87,2021-06-24,341.89,344.9,341.79,343.18,83781.49,343.457,39707
88,2021-06-25,342.31,344.12,339.68,341.37,81325.26,341.2425,43179
89,2021-06-28,342.41,358.14,341.77,355.64,191279.15,351.1175,105618
90,2021-06-29,356.26,356.74,349.05,351.89,152005.35,351.757,74882
91,2021-06-30,351.75,352.92,347.17,347.71,93524.04,348.776,50445
92,2021-07-01,346.57,354.67,346.45,354.39,124859.28,351.231,61257
93,2021-07-02,355.1,356.44,352.62,354.7,72304.69,354.3305,40882
94,2021-07-06,356.4,358.79,349.18,352.78,86438.99,353.0595,46223
95,2021-07-07,355.14,356.49,350.0,350.49,100867.92,352.751,47133
