,date
0,2022-07-27
1,2022-04-27
2,2022-02-02
3,2021-10-25
4,2021-07-28
5,2021-04-28
6,2021-01-27
7,2020-10-29
8,2020-07-30
9,2020-04-29
10,2020-01-29
11,2019-10-30
12,2019-07-24
13,2019-04-24
14,2019-01-30
15,2018-10-30
16,2018-07-25
17,2018-04-25
18,2018-01-31
19,2017-11-01
20,2017-07-26
21,2017-05-03
22,2017-02-01
23,2016-11-02
24,2016-07-27
25,2016-04-27
26,2016-01-27
27,2015-11-04
28,2015-07-29
29,2015-04-22
30,2015-01-28
31,2014-10-28
32,2014-07-23
33,2014-04-23
34,2014-01-29
35,2013-10-30
36,2013-07-24
37,2013-05-01
38,2013-01-30
39,2012-10-23
40,2012-07-26
