,date,open,high,low,close,volume,average,barCount
0,2021-02-23 09:30:00,230.2,231.5,229.2,229.35,21073.09,230.448,8291
1,2021-02-23 09:40:00,229.37,230.67,228.73,229.38,14606.51,229.719,8728
2,2021-02-23 09:50:00,229.42,231.5,228.79,230.72,8582.17,230.568,5368
3,2021-02-23 10:00:00,230.64,231.95,230.23,231.42,7824.79,231.166,4633
4,2021-02-23 10:10:00,231.42,232.04,230.96,231.7,7823.25,231.515,4921
5,2021-02-23 10:20:00,231.69,232.93,231.3,232.72,7812.38,232.333,5046
6,2021-02-23 10:30:00,232.73,232.95,231.94,232.41,5359.93,232.481,3574
7,2021-02-23 10:40:00,232.42,233.14,231.8,232.73,5532.89,232.556,3586
8,2021-02-23 10:50:00,232.75,233.04,232.37,232.57,4721.0,232.649,3350
9,2021-02-23 11:00:00,232.61,233.05,232.22,232.89,4044.0,232.675,2955
10,2021-02-23 11:10:00,232.88,233.36,232.6,232.63,4516.94,232.958,2893
11,2021-02-23 11:20:00,232.63,232.92,232.22,232.78,4834.91,232.578,3444
12,2021-02-23 11:30:00,232.78,233.29,232.45,232.98,3734.16,232.817,2698
13,2021-02-23 11:40:00,232.98,233.05,232.45,232.66,3528.32,232.698,2640
14,2021-02-23 11:50:00,232.65,232.87,232.15,232.17,3136.22,232.598,2053
15,2021-02-23 12:00:00,232.16,232.16,231.31,231.34,3834.68,231.742,2687
16,2021-02-23 12:10:00,231.3,231.95,231.11,231.91,3369.05,231.461,2483
17,2021-02-23 12:20:00,231.92,232.4,231.73,232.32,2316.53,232.07,1610
18,2021-02-23 12:30:00,232.29,232.55,230.95,230.99,3610.02,231.903,2609
19,2021-02-23 12:40:00,230.99,231.12,230.35,230.38,2782.5,230.695,1862
20,2021-02-23 12:50:00,230.35,230.99,229.99,230.03,4256.93,230.472,2774
21,2021-02-23 13:00:00,230.04,231.06,229.82,230.98,3730.44,230.46,2360
22,2021-02-23 13:10:00,231.0,231.46,230.93,231.21,2747.09,231.282,1548
23,2021-02-23 13:20:00,231.21,232.47,231.11,232.39,2827.31,231.927,1734
24,2021-02-23 13:30:00,232.38,232.68,232.14,232.57,2569.25,232.446,1592
25,2021-02-23 13:40:00,232.6,232.62,231.84,231.86,2634.27,232.152,1854
26,2021-02-23 13:50:00,231.85,232.49,231.7,232.21,2321.78,232.06,1681
27,2021-02-23 14:00:00,232.2,232.79,231.97,232.62,2466.99,232.414,1668
28,2021-02-23 14:10:00,232.59,232.77,232.09,232.28,2393.58,232.461,1582
29,2021-02-23 14:20:00,232.28,232.71,232.18,232.55,2850.77,232.445,1928
30,2021-02-23 14:30:00,232.57,232.61,231.8,231.93,3104.57,232.169,2315
31,2021-02-23 14:40:00,231.93,232.51,231.84,232.38,2137.83,232.197,1331
32,2021-02-23 14:50:00,232.33,233.04,232.33,232.99,2610.97,232.732,1822
33,2021-02-23 15:00:00,233.0,233.8,232.92,233.8,3987.51,233.303,2173
34,2021-02-23 15:10:00,233.8,234.24,233.43,234.18,4169.22,233.844,2497
35,2021-02-23 15:20:00,234.2,234.83,234.08,234.73,4901.64,234.445,3189
36,2021-02-23 15:30:00,234.73,234.79,233.89,234.05,5934.04,234.338,3073
37,2021-02-23 15:40:00,234.04,234.2,233.67,233.94,4399.93,233.889,2941
38,2021-02-23 15:50:00,233.97,234.04,233.06,233.27,11649.77,233.483,7463
39,2021-02-24 09:30:00,230.01,231.75,229.52,230.95,16373.45,230.406,7070
40,2021-02-24 09:40:00,231.0,231.39,230.25,231.07,7666.14,230.823,4349
41,2021-02-24 09:50:00,231.03,231.25,229.55,229.8,6536.23,230.558,4220
42,2021-02-24 10:00:00,229.83,230.22,229.08,229.37,8551.22,229.541,4221
43,2021-02-24 10:10:00,229.34,230.19,229.0,230.11,6266.13,229.462,2818
44,2021-02-24 10:20:00,230.11,231.58,229.93,231.21,4678.0,230.76,2854
45,2021-02-24 10:30:00,231.22,231.6,229.91,230.44,5570.65,230.85,3207
46,2021-02-24 10:40:00,230.43,230.6,230.04,230.51,3630.22,230.356,2123
47,2021-02-24 10:50:00,230.45,231.27,230.05,231.08,4072.47,230.763,2334
48,2021-02-24 11:00:00,231.08,231.57,230.94,231.44,4383.87,231.25,2168
49,2021-02-24 11:10:00,231.45,231.68,231.25,231.56,3806.29,231.456,1708
50,2021-02-24 11:20:00,231.58,232.23,231.48,231.97,4391.57,231.891,2100
51,2021-02-24 11:30:00,232.03,232.27,231.77,232.11,2724.92,232.04,1608
52,2021-02-24 11:40:00,232.13,232.17,231.65,231.84,3817.61,231.853,1986
53,2021-02-24 11:50:00,231.85,232.3,231.7,231.97,2303.65,232.076,1294
54,2021-02-24 12:00:00,232.01,232.35,231.94,232.31,2524.08,232.159,1232
55,2021-02-24 12:10:00,232.34,232.65,232.04,232.63,3877.02,232.318,1770
56,2021-02-24 12:20:00,232.62,232.66,232.09,232.34,2486.23,232.332,1265
57,2021-02-24 12:30:00,232.39,232.79,232.28,232.77,2730.31,232.543,1295
58,2021-02-24 12:40:00,232.79,232.9,232.49,232.58,2549.54,232.755,1390
59,2021-02-24 12:50:00,232.61,233.05,232.41,233.02,4101.85,232.737,2141
60,2021-02-24 13:00:00,233.02,233.05,232.26,232.83,3921.5,232.58,2426
61,2021-02-24 13:10:00,232.84,233.43,232.76,233.18,2738.23,233.171,1409
62,2021-02-24 13:20:00,233.2,233.44,233.04,233.27,2289.75,233.243,1238
63,2021-02-24 13:30:00,233.32,233.89,233.19,233.71,2756.83,233.591,1600
64,2021-02-24 13:40:00,233.7,234.09,233.3,233.94,3371.49,233.774,1876
65,2021-02-24 13:50:00,233.94,234.19,233.63,234.11,2823.5,233.885,1579
66,2021-02-24 14:00:00,234.11,234.18,233.47,233.79,2727.73,233.827,1541
67,2021-02-24 14:10:00,233.8,233.99,233.52,233.62,2805.33,233.713,1557
68,2021-02-24 14:20:00,233.64,233.91,233.54,233.72,2081.18,233.755,1126
69,2021-02-24 14:30:00,233.73,233.9,233.52,233.89,1800.46,233.753,954
70,2021-02-24 14:40:00,233.89,234.19,233.69,233.73,2628.07,233.99,1392
71,2021-02-24 14:50:00,233.74,234.02,233.67,233.71,1518.4,233.798,877
72,2021-02-24 15:00:00,233.72,234.06,233.68,234.01,2061.3,233.83,1226
73,2021-02-24 15:10:00,234.0,234.4,233.94,234.01,2411.64,234.163,1344
74,2021-02-24 15:20:00,234.0,234.83,233.93,234.77,4072.45,234.384,2293
75,2021-02-24 15:30:00,234.79,235.2,234.68,234.96,5641.91,235.005,3049
76,2021-02-24 15:40:00,234.97,235.01,234.39,234.5,5293.5,234.605,3407
77,2021-02-24 15:50:00,234.51,235.08,234.39,234.54,13634.48,234.701,8097
78,2021-02-25 09:30:00,232.2,234.21,232.06,233.53,12582.09,232.972,4970
79,2021-02-25 09:40:00,233.55,234.59,233.52,233.79,3802.47,233.947,2498
80,2021-02-25 09:50:00,233.8,234.43,233.6,234.2,3840.6,233.947,2484
81,2021-02-25 10:00:00,234.2,234.23,232.66,232.89,6326.33,233.348,4019
82,2021-02-25 10:10:00,232.92,233.49,232.52,233.04,5859.19,232.96,3656
83,2021-02-25 10:20:00,233.03,233.83,232.53,232.83,4044.0,233.156,2703
84,2021-02-25 10:30:00,232.83,232.92,232.03,232.17,6310.7,232.452,3850
85,2021-02-25 10:40:00,232.17,232.31,231.59,232.25,7541.32,231.983,4315
86,2021-02-25 10:50:00,232.27,233.11,231.8,233.11,4257.81,232.569,2670
87,2021-02-25 11:00:00,233.08,234.03,232.69,233.78,4339.73,233.362,2649
88,2021-02-25 11:10:00,233.81,234.1,233.47,233.69,3925.34,233.843,2413
89,2021-02-25 11:20:00,233.7,233.83,232.13,232.31,4411.31,232.881,3105
90,2021-02-25 11:30:00,232.31,232.49,231.78,232.03,5391.01,232.141,3217
91,2021-02-25 11:40:00,232.03,232.07,231.36,231.36,5553.46,231.709,3560
92,2021-02-25 11:50:00,231.37,231.71,230.48,230.62,6449.97,231.075,4141
93,2021-02-25 12:00:00,230.63,230.99,230.26,230.76,5854.17,230.565,3736
94,2021-02-25 12:10:00,230.74,231.25,230.09,230.48,6959.46,230.842,4594
95,2021-02-25 12:20:00,230.51,230.56,229.99,230.01,9329.22,230.15,6166
96,2021-02-25 12:30:00,230.0,230.42,229.68,230.34,9956.68,229.965,6769
97,2021-02-25 12:40:00,230.35,230.5,229.69,229.72,4704.89,230.073,3167
98,2021-02-25 12:50:00,229.74,229.94,229.29,229.44,8120.04,229.576,4793
99,2021-02-25 13:00:00,229.44,230.67,228.5,230.62,7764.1,229.568,5155
100,2021-02-25 13:10:00,230.58,230.89,229.94,230.51,4650.34,230.287,2872
