,date,open,high,low,close,volume,average,barCount
0,2021-02-23,230.2,234.83,228.73,233.27,194737.23,231.9545,120956
1,2021-02-24,230.01,235.2,229.0,234.55,167619.2,232.1965,90144
2,2021-02-25,232.2,234.59,227.88,228.99,247679.41,230.8755,151306
3,2021-02-26,231.55,235.37,229.54,232.38,191714.0,232.9775,117310
4,2021-03-01,235.9,237.47,233.15,236.94,154403.62,236.264,93444
5,2021-03-02,236.99,237.3,233.45,233.87,134259.69,234.805,87864
6,2021-03-03,232.17,233.58,227.28,227.56,196939.76,229.6035,123566
7,2021-03-04,226.85,232.49,224.26,226.73,276154.33,227.5875,175919
8,2021-03-05,229.57,233.27,226.46,231.6,249122.97,230.102,159543
9,2021-03-08,231.42,233.37,227.13,227.39,205973.63,230.3135,135811
10,2021-03-09,232.88,235.39,231.67,233.78,196286.11,233.946,115678
11,2021-03-10,237.0,237.0,232.04,232.42,181327.57,234.2505,116701
12,2021-03-11,234.5,239.17,234.31,237.13,174974.27,237.2985,112004
13,2021-03-12,234.07,235.82,233.23,235.75,137784.65,234.679,90759
14,2021-03-15,234.96,235.19,231.81,234.81,156477.98,233.3645,96538
15,2021-03-16,236.3,240.06,235.94,237.71,174806.75,238.5225,108776
16,2021-03-17,236.19,238.55,233.23,237.04,162470.55,235.695,103175
17,2021-03-18,232.35,234.19,230.33,230.72,216054.13,232.0785,133461
18,2021-03-19,231.0,232.48,229.34,230.35,205055.22,231.1735,102976
19,2021-03-22,230.37,236.9,230.14,235.99,158924.53,235.1185,89753
20,2021-03-23,237.42,241.05,237.07,237.58,197435.34,239.092,106038
21,2021-03-24,237.8,238.0,235.32,235.46,154511.99,236.471,98206
22,2021-03-25,235.29,236.94,231.57,232.34,210046.79,233.1885,142306
23,2021-03-26,231.58,236.71,231.55,236.48,145021.43,234.2055,92470
24,2021-03-29,236.96,236.96,231.88,235.24,135775.73,234.2215,86822
25,2021-03-30,233.44,233.85,231.1,231.85,154731.27,232.0295,95261
26,2021-03-31,232.91,239.1,232.39,235.77,261633.61,236.181,142331
27,2021-04-01,238.52,242.64,238.05,242.35,203902.29,241.2305,117959
28,2021-04-05,242.79,249.96,242.7,249.07,255839.58,248.1875,139705
29,2021-04-06,247.6,249.4,246.88,247.86,144065.73,248.274,83764
30,2021-04-07,247.88,250.93,247.19,249.9,148390.77,249.754,84964
31,2021-04-08,252.85,254.14,252.0,253.25,148743.55,253.025,85000
32,2021-04-09,252.82,255.99,252.44,255.85,151805.79,254.471,88200
33,2021-04-12,254.71,257.67,254.62,255.91,154677.56,256.1885,89106
34,2021-04-13,257.25,259.19,256.83,258.49,140605.39,257.882,77583
35,2021-04-14,257.22,258.83,255.16,255.59,134551.23,256.722,85475
36,2021-04-15,257.79,259.93,257.73,259.5,139858.88,259.005,82710
37,2021-04-16,259.43,261.0,257.6,260.74,148990.84,259.8735,74350
38,2021-04-19,260.19,261.48,257.82,258.74,124579.06,259.1845,73718
39,2021-04-20,257.98,260.2,256.84,258.26,117041.18,258.2705,67904
40,2021-04-21,258.93,260.68,257.25,260.58,137217.03,259.309,72674
41,2021-04-22,260.21,261.78,255.64,257.17,158939.74,258.601,92217
42,2021-04-23,257.88,261.51,257.27,261.15,126611.45,260.214,77261
43,2021-04-26,261.65,262.44,260.17,261.55,119421.03,261.355,67027
44,2021-04-27,261.51,263.19,260.12,261.97,158655.48,261.4795,89313
45,2021-04-28,256.08,256.54,252.95,254.56,323985.64,254.4775,174610
46,2021-04-29,255.5,256.1,249.0,252.51,279376.01,251.771,146587
47,2021-04-30,249.74,253.08,249.6,252.18,184907.36,251.5165,105211
48,2021-05-03,253.39,254.35,251.12,251.86,116673.92,252.4725,66794
49,2021-05-04,250.97,251.21,245.76,247.79,175793.25,247.486,100635
50,2021-05-05,248.98,249.5,245.82,246.47,109653.44,247.7305,63759
51,2021-05-06,246.46,249.86,244.69,249.73,160695.28,247.257,88676
52,2021-05-07,252.15,254.3,251.17,252.46,145894.1,252.943,90539
53,2021-05-10,250.87,251.73,247.12,247.18,149281.91,249.3915,87769
54,2021-05-11,244.4,246.6,242.57,246.23,195987.46,245.1295,120680
55,2021-05-12,242.15,244.38,238.07,239.0,235960.9,240.1915,138986
56,2021-05-13,241.86,245.6,241.42,243.03,194710.09,243.5405,117365
57,2021-05-14,245.54,249.18,245.49,248.15,147889.08,247.898,91626
58,2021-05-17,246.6,246.6,243.52,245.18,135019.7,244.7095,81826
59,2021-05-18,246.26,246.41,242.9,243.08,123223.64,245.014,76462
60,2021-05-19,239.31,243.23,238.6,243.12,149746.95,241.2635,97383
61,2021-05-20,243.85,247.95,243.85,246.48,128186.38,246.559,78162
62,2021-05-21,247.56,248.33,244.74,245.17,139633.63,246.1495,80205
63,2021-05-24,247.77,251.16,247.51,250.78,126824.09,250.25,76213
64,2021-05-25,251.65,252.75,250.82,251.72,106414.04,251.418,67950
65,2021-05-26,251.27,252.94,250.75,251.49,96876.72,251.2925,56489
66,2021-05-27,251.12,251.48,249.25,249.31,106874.35,250.3625,64411
67,2021-05-28,251.24,252.08,249.56,249.68,113388.9,250.9155,63326
68,2021-06-01,251.21,251.29,246.96,247.4,129757.36,248.549,75222
69,2021-06-02,248.07,249.27,245.84,247.3,126611.48,247.699,75948
70,2021-06-03,245.23,246.34,243.0,245.71,133039.47,244.895,82141
71,2021-06-04,247.77,251.65,247.51,250.79,147933.09,250.3985,92738
72,2021-06-07,249.98,254.09,249.81,253.81,147619.89,252.407,85169
73,2021-06-08,255.3,256.01,252.51,252.57,138973.37,253.827,83344
74,2021-06-09,254.0,255.53,253.21,253.59,117119.43,254.327,72293
75,2021-06-10,254.36,257.46,253.64,257.24,164939.95,256.3075,96240
76,2021-06-11,257.9,258.49,256.61,257.89,123063.55,257.542,71118
77,2021-06-14,257.9,259.95,256.8,259.89,99875.07,258.1975,58311
78,2021-06-15,259.73,259.99,257.68,258.36,107465.45,258.7535,65013
79,2021-06-16,259.35,260.58,254.42,257.38,161326.29,257.94,97128
80,2021-06-17,256.15,261.75,256.01,260.9,166426.07,259.8405,102318
81,2021-06-18,259.48,262.3,258.75,259.43,199042.65,260.317,101755
82,2021-06-21,259.97,263.52,257.92,262.63,161642.37,261.824,97007
83,2021-06-22,262.79,265.79,262.4,265.51,140178.97,264.547,80862
84,2021-06-23,265.5,266.83,264.43,265.275,121942.34,265.3415,68137
85,2021-06-24,265.96,267.85,265.47,266.69,124764.31,266.788,74309
86,2021-06-25,266.3,267.25,264.76,265.02,106406.49,265.625,63465
87,2021-06-28,266.12,268.9,265.91,268.72,115183.38,267.996,67650
88,2021-06-29,268.88,271.65,267.98,271.4,123383.65,270.3375,75237
89,2021-06-30,270.53,271.36,269.6,270.9,113609.93,270.5805,70232
90,2021-07-01,269.66,271.84,269.59,271.6,98193.86,270.613,59499
