,date,open,high,low,close,volume,average,barCount
0,2021-02-23 09:30:00,230.2,231.5,228.73,230.72,44261.77,230.231,22387
1,2021-02-23 10:00:00,230.64,233.14,230.23,232.57,39074.24,232.026,25110
2,2021-02-23 11:00:00,232.61,233.36,232.15,232.17,23794.55,232.725,16683
3,2021-02-23 12:00:00,232.16,232.55,229.99,230.03,20169.71,231.349,14025
4,2021-02-23 13:00:00,230.04,232.68,229.82,232.21,16830.14,231.629,10769
5,2021-02-23 14:00:00,232.2,233.04,231.8,232.99,15564.71,232.402,10646
6,2021-02-23 15:00:00,233.0,234.83,232.92,233.27,35042.11,233.836,21336
7,2021-02-24 09:30:00,230.01,231.75,229.52,229.8,30575.82,230.543,15639
8,2021-02-24 10:00:00,229.83,231.6,229.0,231.08,32768.69,230.165,17557
9,2021-02-24 11:00:00,231.08,232.3,230.94,231.97,21427.91,231.715,10864
10,2021-02-24 12:00:00,232.01,233.05,231.94,233.02,18269.03,232.487,9093
11,2021-02-24 13:00:00,233.02,234.19,232.26,234.11,17901.3,233.342,10128
12,2021-02-24 14:00:00,234.11,234.19,233.47,233.71,13561.17,233.811,7447
13,2021-02-24 15:00:00,233.72,235.2,233.68,234.54,33115.28,234.605,19416
14,2021-02-25 09:30:00,232.2,234.59,232.06,234.2,20225.16,233.34,9952
15,2021-02-25 10:00:00,234.2,234.23,231.59,233.11,34339.35,232.698,21213
16,2021-02-25 11:00:00,233.08,234.1,230.48,230.62,30070.82,232.34,19085
17,2021-02-25 12:00:00,230.63,231.25,229.29,229.44,44924.46,230.158,29225
18,2021-02-25 13:00:00,229.44,230.91,228.5,230.65,30359.95,230.095,18909
19,2021-02-25 14:00:00,230.63,232.29,230.15,230.19,19497.94,231.308,11541
20,2021-02-25 15:00:00,230.17,230.67,227.88,228.78,68261.73,229.279,41381
21,2021-02-26 09:30:00,231.55,233.16,230.1,231.18,30471.46,231.524,17441
22,2021-02-26 10:00:00,231.21,233.31,229.54,232.94,35196.2,231.436,21750
23,2021-02-26 11:00:00,232.95,233.81,231.41,233.36,22424.35,232.855,14810
24,2021-02-26 12:00:00,233.45,235.19,232.63,233.97,21733.93,234.385,13165
25,2021-02-26 13:00:00,234.02,235.21,232.92,233.24,17138.89,233.974,10956
26,2021-02-26 14:00:00,233.25,234.45,232.74,233.92,17297.55,233.634,10626
27,2021-02-26 15:00:00,233.9,235.37,232.18,232.19,47451.62,233.868,28562
28,2021-03-01 09:30:00,235.9,236.3,233.15,235.54,28005.41,234.817,14353
29,2021-03-01 10:00:00,235.59,236.67,234.8,236.58,28514.77,235.973,16740
30,2021-03-01 11:00:00,236.58,237.25,236.17,236.94,18350.58,236.675,11181
31,2021-03-01 12:00:00,236.95,237.14,236.13,236.28,14156.26,236.818,9446
32,2021-03-01 13:00:00,236.3,236.76,236.06,236.55,13274.16,236.435,8309
33,2021-03-01 14:00:00,236.58,237.17,236.44,236.97,17381.83,236.839,10260
34,2021-03-01 15:00:00,236.98,237.47,236.25,236.94,34720.61,236.873,23155
35,2021-03-02 09:30:00,236.99,237.3,234.14,234.88,25931.94,235.409,15785
36,2021-03-02 10:00:00,234.89,235.9,233.6,234.36,23918.4,234.724,16347
37,2021-03-02 11:00:00,234.31,234.58,233.45,234.24,19200.54,233.997,12172
