,date
0,2022-07-26
1,2022-04-26
2,2022-01-25
3,2021-10-26
4,2021-07-27
5,2021-04-27
6,2021-01-26
7,2020-10-27
8,2020-07-22
9,2020-04-29
10,2020-01-29
11,2019-10-23
12,2019-07-18
13,2019-04-24
14,2019-01-30
15,2018-10-24
16,2018-07-19
17,2018-04-26
18,2018-01-31
19,2017-10-26
20,2017-07-20
21,2017-04-27
22,2017-01-26
23,2016-10-20
24,2016-07-19
25,2016-04-21
26,2016-01-28
27,2015-10-22
28,2015-07-21
29,2015-04-23
30,2015-01-26
31,2014-10-23
32,2014-07-22
33,2014-04-24
34,2014-01-23
35,2013-10-24
36,2013-07-18
37,2013-04-18
38,2013-01-24
39,2012-10-18
40,2012-07-19
41,2012-04-19
42,2012-01-19
43,2011-10-20
44,2011-07-21
45,2011-04-28
46,2011-01-27
47,2010-10-28
48,2010-07-22
49,2010-04-22
50,2010-01-28
51,2009-10-23
52,2009-07-23
53,2009-04-23
54,2009-01-22
55,2008-10-23
56,2008-07-17
57,2008-04-24
58,2008-01-24
59,2007-10-25
60,2007-07-19
61,2007-04-26
62,2007-01-25
63,2006-10-26
64,2006-07-20
65,2006-04-27
66,2006-01-26
67,2005-10-27
68,2005-07-21
69,2005-04-28
70,2005-01-27
71,2004-10-21
72,2004-07-22
73,2004-04-22
74,2004-01-22
75,2003-10-23
76,2003-07-17
77,2003-04-15
78,2003-01-16
79,2002-10-17
80,2002-07-18
81,2002-04-18
82,2002-01-17
83,2001-10-18
84,2001-07-19
85,2001-04-19
86,2001-01-18
87,2000-10-18
88,2000-07-18
89,2000-04-20
90,2000-01-18
91,1999-10-19
92,1999-07-19
93,1999-04-20
94,1999-01-19
95,1998-10-20
96,1998-07-16
97,1998-04-22
