,date,open,high,low,close,volume,average,barCount
0,2021-02-23 09:30:00,26.26,26.65,24.79,25.36,21482.63,25.518,6329
1,2021-02-23 09:40:00,25.35,25.56,24.42,24.44,14795.33,25.018,5179
2,2021-02-23 09:50:00,24.47,25.15,24.44,25.05,11198.88,24.776,4481
3,2021-02-23 10:00:00,25.05,25.87,25.04,25.79,9355.99,25.598,3643
4,2021-02-23 10:10:00,25.8,26.25,25.8,26.02,8288.45,26.033,3333
5,2021-02-23 10:20:00,26.02,26.34,25.98,26.12,6217.33,26.181,2646
6,2021-02-23 10:30:00,26.12,26.21,25.56,25.7,6044.95,25.764,2715
7,2021-02-23 10:40:00,25.7,26.15,25.66,26.05,6568.13,25.901,2743
8,2021-02-23 10:50:00,26.05,26.07,25.36,25.39,6179.06,25.631,2633
9,2021-02-23 11:00:00,25.39,25.74,25.39,25.56,4246.07,25.585,1729
10,2021-02-23 11:10:00,25.55,25.56,25.29,25.33,2636.73,25.439,1273
11,2021-02-23 11:20:00,25.33,25.79,25.23,25.77,5007.67,25.453,2092
12,2021-02-23 11:30:00,25.76,25.99,25.76,25.81,3925.29,25.866,1592
13,2021-02-23 11:40:00,25.82,25.9,25.62,25.67,2306.15,25.706,935
14,2021-02-23 11:50:00,25.67,25.76,25.6,25.73,1586.76,25.683,800
15,2021-02-23 12:00:00,25.72,25.87,25.63,25.83,2101.51,25.741,957
16,2021-02-23 12:10:00,25.82,26.04,25.76,26.04,2817.24,25.912,1241
17,2021-02-23 12:20:00,26.03,26.06,25.87,26.02,2507.0,25.987,1195
18,2021-02-23 12:30:00,26.02,26.08,25.87,25.93,2537.38,25.987,1050
19,2021-02-23 12:40:00,25.91,25.95,25.83,25.9,1182.13,25.892,663
20,2021-02-23 12:50:00,25.9,26.06,25.79,25.87,4227.88,25.95,2343
21,2021-02-23 13:00:00,25.87,25.98,25.77,25.77,2484.31,25.859,1314
22,2021-02-23 13:10:00,25.77,25.99,25.69,25.93,2549.41,25.801,1184
23,2021-02-23 13:20:00,25.93,26.14,25.89,25.97,3408.87,26.042,1317
24,2021-02-23 13:30:00,25.97,26.01,25.86,25.95,2420.41,25.939,1113
25,2021-02-23 13:40:00,25.94,25.95,25.66,25.69,3125.08,25.773,1281
26,2021-02-23 13:50:00,25.69,25.81,25.65,25.77,1810.35,25.736,701
27,2021-02-23 14:00:00,25.76,25.89,25.75,25.89,2237.09,25.827,891
28,2021-02-23 14:10:00,25.88,25.97,25.85,25.96,2347.23,25.916,832
29,2021-02-23 14:20:00,25.96,26.0,25.91,25.93,2686.24,25.96,1091
30,2021-02-23 14:30:00,25.93,25.95,25.69,25.82,2955.38,25.81,1234
31,2021-02-23 14:40:00,25.82,26.07,25.78,26.05,3505.46,25.94,1262
32,2021-02-23 14:50:00,26.05,26.17,26.01,26.17,3404.27,26.068,1734
33,2021-02-23 15:00:00,26.16,26.25,26.06,26.14,2969.42,26.15,1325
34,2021-02-23 15:10:00,26.14,26.28,26.08,26.24,3164.19,26.196,1540
35,2021-02-23 15:20:00,26.24,26.29,26.06,26.18,4696.81,26.196,1855
36,2021-02-23 15:30:00,26.19,26.25,26.09,26.17,4162.24,26.169,2188
37,2021-02-23 15:40:00,26.18,26.2,25.91,25.92,5937.03,26.057,2694
38,2021-02-23 15:50:00,25.92,26.1,25.87,26.06,12776.48,25.99,5461
39,2021-02-24 09:30:00,26.5,26.59,25.96,26.39,13795.01,26.343,5069
40,2021-02-24 09:40:00,26.42,27.09,26.41,27.09,11960.99,26.827,4209
41,2021-02-24 09:50:00,27.08,27.5,27.0,27.49,12021.83,27.238,4407
42,2021-02-24 10:00:00,27.48,27.6,27.12,27.23,10287.57,27.448,4401
43,2021-02-24 10:10:00,27.22,27.72,27.19,27.61,9786.93,27.491,3481
44,2021-02-24 10:20:00,27.6,27.79,27.4,27.67,7409.08,27.621,3594
45,2021-02-24 10:30:00,27.68,27.9,27.58,27.86,7277.12,27.759,3316
46,2021-02-24 10:40:00,27.86,27.93,27.59,27.65,6167.95,27.793,2846
47,2021-02-24 10:50:00,27.64,27.88,27.51,27.81,7734.24,27.665,3423
48,2021-02-24 11:00:00,27.81,28.24,27.8,28.15,19198.32,28.029,5504
49,2021-02-24 11:10:00,28.16,28.42,28.12,28.4,13530.65,28.296,3685
50,2021-02-24 11:20:00,28.39,28.55,28.32,28.34,7076.81,28.438,2663
51,2021-02-24 11:30:00,28.34,28.5,28.23,28.45,7026.57,28.395,2468
52,2021-02-24 11:40:00,28.44,28.49,28.12,28.24,4646.12,28.264,1940
53,2021-02-24 11:50:00,28.24,28.27,27.91,28.2,6875.09,28.052,2342
54,2021-02-24 12:00:00,28.2,28.46,28.16,28.41,5346.54,28.362,2409
55,2021-02-24 12:10:00,28.41,28.5,28.27,28.42,4516.47,28.395,2093
56,2021-02-24 12:20:00,28.41,28.46,28.35,28.45,2361.49,28.408,1298
57,2021-02-24 12:30:00,28.45,28.45,28.17,28.29,2275.89,28.296,1109
58,2021-02-24 12:40:00,28.28,28.32,28.13,28.3,4045.29,28.219,2053
59,2021-02-24 12:50:00,28.29,28.41,28.18,28.18,2675.01,28.337,1212
60,2021-02-24 13:00:00,28.17,28.34,28.09,28.31,3569.72,28.214,1469
61,2021-02-24 13:10:00,28.31,28.42,28.27,28.41,2591.6,28.327,1222
62,2021-02-24 13:20:00,28.42,28.52,28.3,28.52,2830.17,28.426,1313
63,2021-02-24 13:30:00,28.52,28.59,28.48,28.53,3025.41,28.542,1485
64,2021-02-24 13:40:00,28.52,28.56,28.39,28.47,2574.98,28.489,1105
65,2021-02-24 13:50:00,28.47,28.48,28.24,28.29,2841.66,28.318,1396
66,2021-02-24 14:00:00,28.31,28.43,28.21,28.42,2852.3,28.293,1450
67,2021-02-24 14:10:00,28.42,28.62,28.42,28.6,4096.84,28.521,1738
68,2021-02-24 14:20:00,28.61,28.65,28.54,28.6,3357.27,28.605,1605
69,2021-02-24 14:30:00,28.6,28.69,28.55,28.59,3514.6,28.616,1622
70,2021-02-24 14:40:00,28.6,28.61,28.25,28.29,4358.45,28.413,1884
71,2021-02-24 14:50:00,28.28,28.59,28.28,28.54,3943.13,28.455,1141
72,2021-02-24 15:00:00,28.54,28.59,28.41,28.41,2982.18,28.501,1217
73,2021-02-24 15:10:00,28.4,28.45,28.3,28.34,4566.11,28.375,1367
74,2021-02-24 15:20:00,28.34,28.38,28.25,28.31,2645.94,28.32,1150
75,2021-02-24 15:30:00,28.32,28.34,28.22,28.29,4526.77,28.277,1966
76,2021-02-24 15:40:00,28.29,28.3,28.17,28.24,5385.96,28.237,2360
77,2021-02-24 15:50:00,28.24,28.27,28.05,28.15,16132.89,28.131,6589
78,2021-02-25 09:30:00,28.23,28.54,27.63,28.3,13598.39,28.092,3841
79,2021-02-25 09:40:00,28.3,28.5,28.21,28.3,7702.26,28.35,3131
80,2021-02-25 09:50:00,28.32,28.48,28.01,28.19,6484.71,28.186,2650
81,2021-02-25 10:00:00,28.2,28.3,27.94,28.06,6001.01,28.102,2359
