,date,open,high,low,close,volume,average,barCount
0,2021-02-23,26.26,26.65,24.42,26.06,191852.83,25.7155,78589
1,2021-02-24,26.5,28.69,25.96,28.16,241810.95,27.9175,95601
2,2021-02-25,28.23,28.54,26.45,26.75,180148.14,27.3445,81614
3,2021-02-26,26.26,27.01,25.2,26.61,174257.95,26.238,78360
4,2021-03-01,27.39,28.28,27.01,27.64,133616.86,27.7365,58662
5,2021-03-02,27.59,28.51,27.32,27.82,139685.37,28.1305,67476
6,2021-03-03,28.0,29.45,28.0,28.66,173451.75,28.8775,77501
7,2021-03-04,29.18,30.63,28.54,29.9,344950.05,29.667,151385
8,2021-03-05,31.59,32.52,30.0,31.23,367377.42,31.428,157947
9,2021-03-08,31.68,31.9,29.63,29.77,193015.9,30.5215,82388
10,2021-03-09,29.22,29.72,28.21,28.65,203440.74,28.844,97076
11,2021-03-10,28.85,29.63,28.54,29.36,166543.47,29.184,82764
12,2021-03-11,29.94,31.83,29.77,30.98,187681.12,31.123,84830
13,2021-03-12,30.7,31.27,30.46,30.63,137068.19,30.8085,67233
14,2021-03-15,30.09,30.31,28.77,29.3,170684.87,29.3085,72679
15,2021-03-16,28.62,29.24,27.79,28.17,137889.73,28.298,58720
16,2021-03-17,28.04,29.13,27.94,29.04,130219.83,28.5665,59658
17,2021-03-18,28.49,28.67,26.51,26.62,203918.9,27.5645,86359
18,2021-03-19,27.0,28.56,26.7,28.1,188602.69,27.916,81484
19,2021-03-22,27.82,28.23,27.27,27.46,101793.73,27.7185,51282
20,2021-03-23,26.38,27.28,26.09,26.59,156926.95,26.7615,69213
21,2021-03-24,27.45,27.97,26.96,27.06,132706.02,27.5005,58768
22,2021-03-25,26.3,26.78,25.35,26.7,152997.17,26.163,72969
23,2021-03-26,27.74,27.9,26.86,27.76,134339.61,27.3775,67989
24,2021-03-29,27.31,27.34,26.36,27.0,109330.05,26.9065,51469
25,2021-03-30,26.69,27.72,26.54,27.33,81956.44,27.2945,42296
26,2021-03-31,27.33,27.41,26.61,26.62,119890.53,26.918,61215
27,2021-04-01,26.82,27.83,26.41,27.38,236842.3,27.2245,115389
28,2021-04-05,27.0,27.15,25.07,25.31,279514.32,25.6365,113212
29,2021-04-06,25.62,26.19,25.25,25.35,173656.24,25.7065,76688
30,2021-04-07,25.49,25.67,25.01,25.3,121535.49,25.333,54761
31,2021-04-08,24.92,24.95,24.24,24.73,125178.16,24.6155,52827
32,2021-04-09,24.75,25.03,24.37,24.59,87753.07,24.6395,36930
33,2021-04-12,24.78,25.16,23.94,24.23,124989.36,24.3975,52389
34,2021-04-13,24.15,24.53,23.92,24.29,95878.08,24.274,34140
35,2021-04-14,25.0,26.05,24.92,25.55,233406.7,25.61,103209
36,2021-04-15,25.33,25.35,24.68,24.86,117934.78,24.959,49052
37,2021-04-16,25.0,25.18,24.25,24.38,89374.79,24.5585,36489
38,2021-04-19,24.48,25.11,24.24,24.54,95487.74,24.636,38916
39,2021-04-20,24.5,24.51,22.97,23.2,164724.0,23.336,66670
40,2021-04-21,22.45,24.47,22.4,24.45,170707.48,24.0005,67188
41,2021-04-22,24.57,24.71,23.92,24.1,137912.69,24.2925,55682
42,2021-04-23,24.25,24.81,23.77,24.65,88761.28,24.536,35984
43,2021-04-26,24.43,25.14,24.41,24.9,110842.12,24.9255,46076
44,2021-04-27,25.11,25.4,24.65,25.09,118885.38,25.044,50607
45,2021-04-28,25.38,26.24,25.31,26.1,185561.28,25.9605,77271
46,2021-04-29,26.56,26.98,25.66,25.94,154482.11,26.1755,64030
47,2021-04-30,25.55,26.31,25.29,25.36,111810.36,25.625,46872
48,2021-05-03,25.65,26.28,25.38,26.14,110870.21,25.903,45121
49,2021-05-04,26.51,26.57,25.11,25.86,129190.89,25.7485,54685
50,2021-05-05,26.3,27.34,25.91,27.05,167649.48,26.8925,61959
51,2021-05-06,27.1,27.2,26.01,26.65,121827.95,26.478,47497
52,2021-05-07,26.02,27.54,25.85,27.39,153660.08,27.0275,59751
53,2021-05-10,27.71,28.13,26.56,26.63,159593.62,27.1355,64601
54,2021-05-11,25.4,25.61,24.3,24.53,271177.28,24.7825,103071
