,date,open,high,low,close,volume,average,barCount
0,2021-02-23 09:30:00,26.26,26.65,24.42,25.05,47476.84,25.187,15989
1,2021-02-23 10:00:00,25.05,26.34,25.04,25.39,42653.91,25.842,17713
2,2021-02-23 11:00:00,25.39,25.99,25.23,25.73,19708.67,25.61,8421
3,2021-02-23 12:00:00,25.72,26.08,25.63,25.87,15373.14,25.922,7449
4,2021-02-23 13:00:00,25.87,26.14,25.65,25.77,15798.43,25.87,6910
5,2021-02-23 14:00:00,25.76,26.17,25.69,26.17,17135.67,25.928,7044
6,2021-02-23 15:00:00,26.16,26.29,25.87,26.06,33706.17,26.086,15063
7,2021-02-24 09:30:00,26.5,27.5,25.96,27.49,37777.83,26.781,13685
8,2021-02-24 10:00:00,27.48,27.93,27.12,27.81,48662.89,27.608,21061
9,2021-02-24 11:00:00,27.81,28.55,27.8,28.2,58353.56,28.206,18602
10,2021-02-24 12:00:00,28.2,28.5,28.13,28.18,21220.69,28.337,10174
11,2021-02-24 13:00:00,28.17,28.59,28.09,28.29,17433.54,28.38,7990
12,2021-02-24 14:00:00,28.31,28.69,28.21,28.54,22122.59,28.487,9440
13,2021-02-24 15:00:00,28.54,28.59,28.05,28.15,36239.85,28.24,14649
14,2021-02-25 09:30:00,28.23,28.54,27.63,28.19,27785.36,28.186,9622
15,2021-02-25 10:00:00,28.2,28.3,27.26,27.38,34367.65,27.737,15710
16,2021-02-25 11:00:00,27.38,27.7,27.28,27.44,16771.18,27.48,8023
17,2021-02-25 12:00:00,27.44,27.46,26.61,26.71,20939.85,27.067,9740
18,2021-02-25 13:00:00,26.7,27.13,26.45,26.95,27109.07,26.78,12957
19,2021-02-25 14:00:00,26.94,27.58,26.9,27.18,18253.79,27.325,9084
20,2021-02-25 15:00:00,27.17,27.26,26.61,26.76,34921.24,26.839,16478
21,2021-02-26 09:30:00,26.26,26.82,25.59,25.68,26133.88,26.119,9148
22,2021-02-26 10:00:00,25.68,26.11,25.2,25.77,47442.83,25.66,19732
23,2021-02-26 11:00:00,25.77,26.54,25.7,26.28,23456.57,26.193,11034
24,2021-02-26 12:00:00,26.29,26.71,26.26,26.41,17759.04,26.561,8911
25,2021-02-26 13:00:00,26.41,26.81,26.37,26.62,11218.66,26.634,6120
26,2021-02-26 14:00:00,26.63,26.75,26.34,26.7,12517.81,26.541,6626
27,2021-02-26 15:00:00,26.69,27.01,26.46,26.62,35729.16,26.73,16789
28,2021-03-01 09:30:00,27.39,27.9,27.01,27.8,24408.41,27.544,8002
29,2021-03-01 10:00:00,27.78,28.13,27.66,27.99,26918.97,27.932,11216
30,2021-03-01 11:00:00,28.0,28.28,27.82,27.95,17261.74,28.081,8298
31,2021-03-01 12:00:00,27.95,28.08,27.68,27.68,12598.71,27.924,6021
32,2021-03-01 13:00:00,27.69,27.72,27.2,27.66,18209.79,27.456,8465
33,2021-03-01 14:00:00,27.66,27.86,27.51,27.78,10749.65,27.699,5641
34,2021-03-01 15:00:00,27.78,27.78,27.46,27.64,23469.59,27.594,11019
