,date
0,2022-08-02
1,2022-05-10
2,2022-02-23
3,2021-11-04
4,2021-08-03
5,2021-05-10
6,2021-02-22
7,2020-11-09
8,2020-08-10
9,2020-05-05
10,2020-02-27
11,2019-11-04
12,2019-07-31
13,2019-05-06
14,2019-02-12
15,2018-11-05
16,2018-08-08
17,2018-05-08
18,2018-02-13
19,2017-11-01
20,2017-08-02
21,2017-05-04
22,2017-02-09
23,2016-11-01
24,2016-08-03
25,2016-05-05
26,2016-02-04
27,2015-10-28
28,2015-07-30
29,2015-05-06
30,2015-01-29
31,2014-10-23
32,2014-07-31
33,2014-05-05
34,2014-01-30
35,2013-10-29
36,2013-07-30
37,2013-04-25
38,2013-01-31
39,2012-10-25
40,2012-07-26
41,2012-04-26
42,2012-01-25
43,2011-10-27
44,2011-07-26
45,2011-04-28
46,2011-01-26
47,2010-10-19
48,2010-07-27
49,2010-04-29
50,2010-01-28
51,2009-10-22
52,2009-07-23
53,2009-04-23
54,2009-01-29
55,2008-10-28
56,2008-07-24
57,2008-04-24
58,2008-01-29
59,2007-10-24
60,2007-07-24
61,2007-04-24
62,2007-01-25
63,2006-10-18
64,2006-08-04
65,2006-04-25
66,2006-02-07
67,2005-10-31
68,2005-07-22
69,2005-04-26
70,2005-01-24
71,2004-10-21
72,2004-07-19
73,2004-04-23
74,2004-01-22
75,2003-10-21
76,2003-07-22
77,2003-04-22
78,2003-01-29
79,2002-10-21
80,2002-07-22
81,2002-04-25
82,2002-02-04
83,2001-10-17
84,2001-07-19
85,2001-04-18
86,2001-01-24
87,2000-10-18
88,2000-07-20
89,2000-04-19
90,2000-01-25
91,1999-10-19
92,1999-07-20
93,1999-04-21
94,1999-01-26
95,1998-10-21
96,1998-07-20
97,1998-04-20
98,1998-01-26
