,exp,k
0,20220812,35.0
1,20220812,40.0
2,20220812,45.0
3,20220812,46.0
4,20220812,46.5
5,20220812,47.0
6,20220812,47.5
7,20220812,48.0
8,20220812,48.5
9,20220812,49.0
10,20220812,49.5
11,20220812,50.0
12,20220812,51.0
13,20220812,52.0
14,20220812,53.0
15,20220812,54.0
16,20220812,55.0
17,20220812,56.0
18,20220812,57.0
19,20220812,57.5
20,20220812,58.0
21,20220812,59.0
22,20220812,60.0
23,20220812,61.0
24,20220812,62.0
25,20220812,62.5
26,20220812,63.0
27,20220812,64.0
28,20220812,65.0
29,20220812,66.0
30,20220812,67.0
31,20220812,68.0
32,20220812,69.0
33,20220812,70.0
34,20220812,71.0
35,20220812,72.0
36,20220812,73.0
37,20220812,74.0
38,20220812,75.0
39,20220812,76.0
40,20220812,77.0
41,20220812,78.0
42,20220812,79.0
43,20220812,80.0
44,20220812,81.0
45,20220812,82.0
46,20220812,83.0
47,20220812,84.0
48,20220812,85.0
49,20220812,86.0
50,20220812,87.0
51,20220812,90.0
52,20220819,15.0
53,20220819,20.0
54,20220819,22.0
55,20220819,23.0
56,20220819,24.0
57,20220819,25.0
58,20220819,26.0
59,20220819,27.0
60,20220819,28.0
61,20220819,29.0
62,20220819,30.0
63,20220819,31.0
64,20220819,32.0
65,20220819,33.0
66,20220819,34.0
67,20220819,35.0
68,20220819,36.0
69,20220819,37.5
70,20220819,40.0
71,20220819,42.5
72,20220819,45.0
73,20220819,47.5
74,20220819,49.0
75,20220819,50.0
76,20220819,51.0
77,20220819,52.0
78,20220819,52.5
79,20220819,53.0
80,20220819,54.0
81,20220819,55.0
82,20220819,56.0
83,20220819,57.0
84,20220819,57.5
85,20220819,58.0
86,20220819,59.0
87,20220819,60.0
88,20220819,61.0
89,20220819,62.0
90,20220819,62.5
91,20220819,63.0
92,20220819,64.0
93,20220819,65.0
94,20220819,66.0
95,20220819,67.0
96,20220819,67.5
97,20220819,68.0
98,20220819,69.0
99,20220819,70.0
100,20220819,71.0
101,20220819,72.0
102,20220819,72.5
103,20220819,73.0
104,20220819,74.0
105,20220819,75.0
106,20220819,77.5
107,20220819,80.0
108,20220819,85.0
109,20220819,90.0
110,20220819,95.0
111,20220819,100.0
112,20220826,35.0
113,20220826,40.0
114,20220826,45.0
115,20220826,47.0
116,20220826,48.0
117,20220826,49.0
118,20220826,50.0
119,20220826,51.0
120,20220826,52.0
121,20220826,53.0
122,20220826,54.0
123,20220826,55.0
124,20220826,56.0
125,20220826,57.0
126,20220826,57.5
127,20220826,58.0
128,20220826,59.0
129,20220826,60.0
130,20220826,61.0
131,20220826,62.0
132,20220826,62.5
133,20220826,63.0
134,20220826,64.0
135,20220826,65.0
136,20220826,66.0
137,20220826,67.0
138,20220826,68.0
139,20220826,69.0
140,20220826,70.0
141,20220826,71.0
142,20220826,72.0
143,20220826,73.0
144,20220826,74.0
145,20220826,75.0
146,20220826,76.0
147,20220826,77.0
148,20220826,80.0
149,20220826,85.0
150,20220826,90.0
151,20220902,35.0
152,20220902,40.0
153,20220902,45.0
154,20220902,50.0
155,20220902,51.0
156,20220902,52.0
157,20220902,53.0
158,20220902,54.0
159,20220902,55.0
160,20220902,56.0
161,20220902,57.0
162,20220902,58.0
163,20220902,59.0
164,20220902,60.0
165,20220902,61.0
166,20220902,62.0
167,20220902,63.0
168,20220902,64.0
169,20220902,65.0
170,20220902,66.0
171,20220902,67.0
172,20220902,68.0
173,20220902,69.0
174,20220902,70.0
175,20220902,71.0
176,20220902,72.0
177,20220902,73.0
178,20220902,74.0
179,20220902,75.0
180,20220902,76.0
181,20220902,77.0
182,20220902,80.0
183,20220902,85.0
184,20220902,90.0
185,20220909,35.0
186,20220909,40.0
187,20220909,45.0
188,20220909,50.0
189,20220909,51.0
190,20220909,52.0
191,20220909,53.0
192,20220909,54.0
193,20220909,55.0
194,20220909,56.0
195,20220909,57.0
196,20220909,58.0
197,20220909,59.0
198,20220909,60.0
199,20220909,61.0
200,20220909,62.0
201,20220909,63.0
202,20220909,64.0
203,20220909,65.0
204,20220909,66.0
205,20220909,67.0
206,20220909,68.0
207,20220909,69.0
208,20220909,70.0
209,20220909,71.0
210,20220909,72.0
211,20220909,73.0
212,20220909,74.0
213,20220909,75.0
214,20220909,76.0
215,20220909,77.0
216,20220909,80.0
217,20220909,85.0
218,20220909,90.0
219,20220916,30.0
220,20220916,32.5
221,20220916,35.0
222,20220916,37.5
223,20220916,40.0
224,20220916,42.5
225,20220916,45.0
226,20220916,47.5
227,20220916,50.0
228,20220916,52.5
229,20220916,55.0
230,20220916,57.5
231,20220916,60.0
232,20220916,62.5
233,20220916,65.0
234,20220916,67.5
235,20220916,70.0
236,20220916,72.5
237,20220916,75.0
238,20220916,77.5
239,20220916,80.0
240,20220916,85.0
241,20220916,90.0
242,20220916,95.0
243,20220916,100.0
244,20220923,35.0
245,20220923,40.0
246,20220923,45.0
247,20220923,50.0
248,20220923,51.0
249,20220923,52.0
250,20220923,53.0
251,20220923,54.0
252,20220923,55.0
253,20220923,56.0
254,20220923,57.0
255,20220923,58.0
256,20220923,59.0
257,20220923,60.0
258,20220923,61.0
259,20220923,62.0
260,20220923,63.0
261,20220923,64.0
262,20220923,65.0
263,20220923,66.0
264,20220923,67.0
265,20220923,68.0
266,20220923,69.0
267,20220923,70.0
268,20220923,71.0
269,20220923,72.0
270,20220923,73.0
271,20220923,74.0
272,20220923,75.0
273,20220923,80.0
274,20220923,85.0
275,20220923,90.0
276,20220930,51.0
277,20220930,52.0
278,20220930,53.0
279,20220930,54.0
280,20220930,55.0
281,20220930,56.0
282,20220930,57.0
283,20220930,58.0
284,20220930,59.0
285,20220930,60.0
286,20220930,61.0
287,20220930,62.0
288,20220930,63.0
289,20220930,64.0
290,20220930,65.0
291,20220930,66.0
292,20220930,67.0
293,20220930,68.0
294,20220930,69.0
295,20220930,70.0
296,20220930,71.0
297,20220930,72.0
298,20220930,73.0
299,20220930,74.0
300,20220930,75.0
301,20221021,30.0
302,20221021,32.5
303,20221021,35.0
304,20221021,37.5
305,20221021,40.0
306,20221021,42.5
307,20221021,45.0
308,20221021,47.5
309,20221021,50.0
310,20221021,52.5
311,20221021,55.0
312,20221021,57.5
313,20221021,60.0
314,20221021,62.5
315,20221021,65.0
316,20221021,67.5
317,20221021,70.0
318,20221021,72.5
319,20221021,75.0
320,20221021,77.5
321,20221021,80.0
322,20221021,85.0
323,20221021,90.0
324,20221021,95.0
325,20221021,100.0
326,20221118,30.0
327,20221118,32.5
328,20221118,35.0
329,20221118,37.5
330,20221118,40.0
331,20221118,42.5
332,20221118,45.0
333,20221118,47.5
334,20221118,50.0
335,20221118,52.5
336,20221118,55.0
337,20221118,57.5
338,20221118,60.0
339,20221118,62.5
340,20221118,65.0
341,20221118,67.5
342,20221118,70.0
343,20221118,72.5
344,20221118,75.0
345,20221118,77.5
346,20221118,80.0
347,20221118,85.0
348,20221118,90.0
349,20221118,95.0
350,20221118,100.0
