,date,open,high,low,close,volume,average,barCount
0,2021-02-23,661.85,713.61,619.0,698.84,371874.09,674.7215,189928
1,2021-02-24,711.35,745.0,694.17,742.02,214449.85,721.6925,108387
2,2021-02-25,725.99,737.21,670.58,682.22,215115.04,702.5725,111105
3,2021-02-26,699.82,706.7,659.51,675.5,217551.77,681.1645,117646
4,2021-03-01,689.68,719.0,685.05,718.43,149027.96,706.5375,74745
5,2021-03-02,717.88,721.11,685.0,686.44,124834.26,702.929,61190
6,2021-03-03,687.38,700.7,651.7,653.2,160417.47,677.2505,80578
7,2021-03-04,655.38,668.45,600.0,621.44,386205.99,625.8615,182217
8,2021-03-05,625.86,627.85,539.49,597.95,534803.27,582.9465,250727
9,2021-03-08,600.87,620.13,558.79,563.0,312952.52,588.0245,144697
10,2021-03-09,608.18,678.09,595.21,673.58,393317.41,645.949,193361
11,2021-03-10,700.25,717.85,655.82,668.06,359552.59,683.9875,161781
12,2021-03-11,699.4,702.5,677.18,699.6,205834.35,692.0205,97645
13,2021-03-12,670.06,694.88,666.13,693.73,190715.36,683.2955,90236
14,2021-03-15,694.09,713.18,684.04,707.94,175048.11,702.194,80593
15,2021-03-16,703.29,707.92,671.0,676.88,189892.94,691.4405,89160
16,2021-03-17,655.53,703.73,651.01,701.81,239841.59,678.929,114947
17,2021-03-18,684.51,689.23,652.0,653.16,187689.67,672.4795,90548
18,2021-03-19,645.98,657.23,624.62,654.87,233017.9,644.54,113502
19,2021-03-22,684.59,699.62,668.75,670.0,230832.81,687.1545,104005
20,2021-03-23,676.29,677.8,657.51,662.16,167524.2,668.3795,80675
21,2021-03-24,667.91,668.02,630.11,630.27,203215.04,651.1275,87201
22,2021-03-25,612.99,645.5,609.5,640.39,238423.13,630.0295,110340
23,2021-03-26,641.87,643.82,600.0,618.71,186412.83,618.8445,95343
24,2021-03-29,615.41,616.19,596.02,611.29,155147.47,606.8575,82011
25,2021-03-30,601.92,637.66,591.01,635.62,249118.94,617.487,110071
26,2021-03-31,646.25,672.0,641.11,667.93,201733.89,659.2275,94337
27,2021-04-01,688.2,692.43,659.42,661.75,216953.72,675.9465,105119
28,2021-04-05,707.71,708.16,684.7,691.05,256200.88,696.938,113034
29,2021-04-06,690.3,696.55,681.37,691.62,184624.17,690.3295,78961
30,2021-04-07,687.0,691.38,667.84,670.97,170240.27,680.585,77555
31,2021-04-08,677.38,689.55,671.64,683.8,147713.54,682.652,70151
32,2021-04-09,677.86,680.97,669.43,677.02,125785.58,675.2275,63754
33,2021-04-12,685.7,704.8,682.09,701.98,169127.29,698.0905,80734
34,2021-04-13,712.69,763.0,710.66,762.32,276587.58,742.097,128012
35,2021-04-14,770.7,780.79,728.03,732.23,293073.75,754.882,141736
36,2021-04-15,743.45,743.69,721.31,738.85,169088.37,732.2585,79498
37,2021-04-16,729.33,749.41,724.6,739.78,169090.97,736.6735,81142
38,2021-04-19,719.64,725.4,691.8,714.63,239738.78,708.0715,116337
39,2021-04-20,717.42,737.25,710.68,718.99,230193.23,722.364,101688
40,2021-04-21,704.57,744.84,698.0,744.12,180767.3,722.96,90561
41,2021-04-22,741.45,753.77,718.04,719.69,220667.05,735.215,104958
42,2021-04-23,719.75,737.36,715.46,729.4,163794.82,728.9995,78320
43,2021-04-26,741.0,749.3,732.6,738.2,159889.14,738.359,73538
44,2021-04-27,717.96,724.0,703.35,704.74,173643.17,711.1075,87321
45,2021-04-28,696.45,708.5,693.6,694.4,129140.28,699.4675,63721
46,2021-04-29,699.51,702.25,668.6,677.0,172078.08,680.8535,80652
47,2021-04-30,667.59,715.47,666.14,709.44,244803.11,698.7975,135444
48,2021-05-03,703.8,706.0,680.5,684.9,166148.31,690.225,78539
49,2021-05-04,678.8,683.45,657.7,673.6,175573.73,667.009,83982
50,2021-05-05,681.52,685.3,667.34,670.94,133354.17,674.7045,65471
51,2021-05-06,681.03,681.03,650.0,663.54,172841.12,662.7515,83272
52,2021-05-07,665.7,683.52,660.22,672.37,140246.33,672.3495,72857
53,2021-05-10,664.9,665.05,627.61,629.04,186748.05,642.6785,92212
54,2021-05-11,599.19,627.1,595.6,617.2,275063.1,613.666,130877
55,2021-05-12,602.5,620.41,586.76,589.89,202227.99,602.1675,96660
56,2021-05-13,602.1,606.46,560.0,571.69,264429.16,579.55,132965
57,2021-05-14,583.4,592.87,570.46,589.74,206009.92,583.315,101638
58,2021-05-17,575.81,589.73,561.2,576.83,202253.88,573.812,95497
59,2021-05-18,568.0,596.25,563.38,577.87,242404.09,582.559,110432
60,2021-05-19,552.39,566.21,546.98,563.46,243287.7,556.928,110872
61,2021-05-20,574.99,588.85,571.07,586.78,202580.61,580.22,89986
62,2021-05-21,596.11,596.68,580.0,580.88,155932.67,587.46,74464
63,2021-05-24,581.45,614.48,573.65,606.44,230548.45,599.4435,102839
64,2021-05-25,607.31,613.99,595.71,604.69,184262.83,602.8565,77920
65,2021-05-26,607.73,626.17,601.5,619.13,190185.94,617.049,78608
66,2021-05-27,620.24,631.13,616.21,630.85,155731.98,622.5035,69299
67,2021-05-28,628.5,635.59,622.38,625.22,144245.79,629.0155,68080
68,2021-06-01,627.8,633.8,620.55,623.9,112220.06,626.5095,50342
69,2021-06-02,620.43,623.36,599.14,605.12,138351.62,607.7435,66897
70,2021-06-03,601.8,604.55,571.22,572.84,181610.83,588.844,93212
71,2021-06-04,579.6,600.61,577.2,599.05,149823.58,593.82,73325
72,2021-06-07,591.61,610.0,582.88,605.13,139947.72,592.6115,67105
73,2021-06-08,623.15,623.15,595.5,603.59,163055.01,606.1965,74402
74,2021-06-09,602.09,611.79,597.63,598.78,109444.02,603.334,48409
75,2021-06-10,603.75,616.59,600.5,610.12,159106.76,610.8465,69026
76,2021-06-11,610.23,612.56,601.52,609.89,100417.76,607.3025,50670
77,2021-06-14,612.32,625.26,609.18,617.69,131134.64,618.039,60817
78,2021-06-15,616.53,616.79,598.23,599.36,114256.38,605.8835,53697
79,2021-06-16,597.8,608.5,593.5,604.87,137819.3,601.001,60255
80,2021-06-17,601.7,621.47,601.34,616.6,140296.68,614.687,68059
81,2021-06-18,613.21,628.35,611.8,623.31,151328.11,620.3265,69363
82,2021-06-21,624.48,631.39,608.88,620.83,157594.91,620.81,70690
83,2021-06-22,618.27,628.57,615.5,623.71,119118.77,623.02,54201
84,2021-06-23,632.0,657.21,630.04,656.57,192835.99,650.2305,93646
85,2021-06-24,674.99,697.62,667.61,679.82,306321.2,684.8985,140369
86,2021-06-25,689.23,693.81,668.7,671.87,210535.61,679.149,96432
87,2021-06-28,671.5,694.7,670.32,688.72,137126.38,686.642,61988
88,2021-06-29,684.65,687.51,675.89,680.76,112789.87,680.6275,51049
89,2021-06-30,679.77,692.81,678.14,679.7,117047.27,685.489,54617
90,2021-07-01,683.99,687.99,672.8,677.92,113715.64,679.2555,55846
91,2021-07-02,678.8,700.0,673.26,678.9,171731.61,683.993,85952
92,2021-07-06,681.8,684.0,651.4,659.58,131497.62,661.716,74141
93,2021-07-07,664.27,665.7,638.32,644.65,119023.04,647.8275,56570
94,2021-07-08,628.37,654.43,620.46,652.81,140572.75,640.256,62827
95,2021-07-09,653.1,658.91,644.69,656.95,107711.84,653.476,52762
96,2021-07-12,662.5,687.24,662.16,685.7,161789.92,680.011,78917
97,2021-07-13,686.32,693.28,666.29,668.54,132016.28,677.572,60917
98,2021-07-14,670.7,678.61,652.84,653.38,148804.34,666.0855,64631
99,2021-07-15,658.39,666.14,637.88,650.6,133609.52,652.215,59744
100,2021-07-16,653.49,656.7,642.2,644.22,99878.53,647.0435,47496
101,2021-07-19,629.83,647.2,621.29,646.22,119777.6,635.6865,55699
102,2021-07-20,651.99,662.4,640.5,660.5,91132.29,649.9865,46269
103,2021-07-21,659.8,664.86,650.29,655.29,84262.51,657.4495,40260
104,2021-07-22,656.5,662.17,644.6,649.26,91946.66,652.255,44350
105,2021-07-23,646.31,648.8,637.3,643.38,85662.46,642.6615,42779
106,2021-07-26,650.97,668.2,647.11,657.62,142016.9,658.6225,71140
107,2021-07-27,663.4,666.5,627.24,644.78,203888.49,641.876,106529
108,2021-07-28,646.78,654.97,639.4,646.98,95133.68,647.178,45390
109,2021-07-29,650.07,683.69,648.8,677.35,191083.27,673.093,93556
110,2021-07-30,671.76,697.53,669.0,687.2,176026.02,686.9255,97262
111,2021-08-02,699.87,726.94,698.4,709.67,203736.44,716.6635,102526
112,2021-08-03,718.59,722.65,701.01,709.74,134398.94,710.3945,67472
113,2021-08-04,711.24,724.9,708.93,710.92,100546.94,714.637,52616
114,2021-08-05,715.88,720.95,711.41,714.63,76672.23,715.984,40383
115,2021-08-06,711.71,716.33,697.63,699.1,85495.35,703.922,48941
116,2021-08-09,710.17,719.03,705.13,713.76,86924.63,714.2185,44283
117,2021-08-10,713.99,716.59,701.88,709.99,79608.78,709.0355,42955
118,2021-08-11,712.71,715.18,704.21,707.82,54790.08,708.521,29692
119,2021-08-12,705.81,722.8,699.4,722.25,108720.56,713.789,56201
120,2021-08-13,723.8,729.9,714.54,717.17,96445.62,720.529,52999
121,2021-08-16,705.4,709.5,678.06,686.17,127153.31,687.022,70614
122,2021-08-17,672.71,674.58,648.84,665.71,134072.11,661.389,64568
123,2021-08-18,670.39,695.77,669.35,688.99,117355.05,687.2495,62932
124,2021-08-19,678.22,686.55,667.59,673.47,83119.48,677.015,41384
125,2021-08-20,682.85,692.13,673.7,680.26,79381.41,680.2355,42789
126,2021-08-23,685.57,712.13,680.75,706.3,124424.78,702.853,63198
127,2021-08-24,710.9,715.21,702.64,708.49,77887.11,708.2455,38935
128,2021-08-25,707.0,716.97,704.0,711.2,75791.36,711.8285,38135
129,2021-08-26,708.3,715.4,697.62,701.16,78023.42,705.7995,41435
130,2021-08-27,705.0,715.0,702.1,711.92,80493.18,710.4555,45158
131,2021-08-30,714.5,731.0,712.73,730.91,111211.31,724.789,58488
132,2021-08-31,732.77,740.34,726.44,735.72,109114.39,734.479,58080
133,2021-09-01,734.1,741.99,731.27,734.09,71975.2,736.7075,37499
134,2021-09-02,734.5,740.97,730.54,732.39,76772.57,735.606,40140
135,2021-09-03,731.66,734.0,724.2,733.57,89447.26,729.063,50640
136,2021-09-07,740.0,760.2,739.26,752.92,119241.08,752.9175,63334
137,2021-09-08,761.51,764.45,740.77,753.87,118141.08,752.362,57187
138,2021-09-09,753.71,762.1,751.63,754.86,86017.79,756.968,43161
