,date,open,high,low,close,volume,average,barCount
0,2021-02-23 09:30:00,661.85,676.0,619.0,652.7,108722.9,645.391,53372
1,2021-02-23 10:00:00,652.52,708.99,651.08,701.4,93506.25,682.089,49500
2,2021-02-23 11:00:00,701.55,705.0,675.27,679.1,47025.06,687.886,24098
3,2021-02-23 12:00:00,678.79,684.66,668.82,675.07,32932.87,675.634,16521
4,2021-02-23 13:00:00,675.08,692.95,674.0,687.02,24515.25,684.836,12397
5,2021-02-23 14:00:00,686.61,692.78,681.58,688.5,18291.85,687.266,9413
6,2021-02-23 15:00:00,688.62,713.61,685.54,698.65,46879.91,704.017,24627
7,2021-02-24 09:30:00,711.35,724.86,702.05,709.31,44597.9,711.694,22167
8,2021-02-24 10:00:00,709.62,719.79,694.17,717.85,46311.32,707.064,24351
9,2021-02-24 11:00:00,717.91,735.0,717.81,727.66,38334.83,727.597,19578
10,2021-02-24 12:00:00,727.67,737.78,727.66,730.01,22571.64,733.347,10769
11,2021-02-24 13:00:00,730.01,734.34,724.6,725.52,19285.53,729.442,8800
12,2021-02-24 14:00:00,725.68,730.58,722.0,725.67,16420.21,726.091,7600
13,2021-02-24 15:00:00,725.64,745.0,725.22,742.02,26928.42,737.003,15122
14,2021-02-25 09:30:00,725.99,737.21,716.6,722.88,23233.88,728.203,11626
15,2021-02-25 10:00:00,723.0,728.98,707.18,715.43,31855.88,718.871,17045
16,2021-02-25 11:00:00,715.28,719.22,701.0,701.24,26052.74,710.262,13378
17,2021-02-25 12:00:00,701.36,706.38,683.61,686.67,44113.04,695.814,22332
18,2021-02-25 13:00:00,685.83,704.53,684.0,699.71,29506.73,698.088,14857
19,2021-02-25 14:00:00,699.55,705.78,690.21,691.15,18665.36,700.091,9187
20,2021-02-25 15:00:00,691.05,693.98,670.58,682.6,41687.41,682.466,22680
21,2021-02-26 09:30:00,699.82,706.7,670.42,672.5,38914.85,689.645,20390
22,2021-02-26 10:00:00,672.5,684.8,659.51,683.15,58189.81,671.696,31043
23,2021-02-26 11:00:00,683.69,693.09,677.42,689.45,31513.24,685.946,16887
24,2021-02-26 12:00:00,689.48,696.55,677.73,679.49,22959.19,688.569,11897
25,2021-02-26 13:00:00,679.54,684.23,673.58,674.99,18354.77,678.505,9827
26,2021-02-26 14:00:00,674.97,683.88,670.71,680.59,19505.4,677.812,10173
27,2021-02-26 15:00:00,680.7,689.07,670.6,671.01,28114.51,681.68,17429
28,2021-03-01 09:30:00,689.68,698.0,685.05,695.49,26582.46,691.26,12636
29,2021-03-01 10:00:00,695.54,712.85,692.12,710.82,39071.68,703.93,19096
30,2021-03-01 11:00:00,711.0,717.0,709.24,711.81,21617.83,713.469,11131
31,2021-03-01 12:00:00,711.84,718.0,710.4,712.68,15012.02,713.687,7413
32,2021-03-01 13:00:00,712.82,713.77,705.31,706.26,11781.32,708.893,5914
33,2021-03-01 14:00:00,706.23,713.49,704.3,711.89,13866.72,710.09,6899
34,2021-03-01 15:00:00,711.82,719.0,710.65,718.43,21095.93,714.778,11656
35,2021-03-02 09:30:00,717.88,721.11,701.84,708.42,23530.42,710.07,11164
36,2021-03-02 10:00:00,708.3,716.0,705.67,710.82,24062.3,710.959,11646
37,2021-03-02 11:00:00,710.44,712.75,700.33,703.23,19305.06,705.061,9713
38,2021-03-02 12:00:00,703.13,707.5,698.6,702.03,12494.04,703.745,6408
39,2021-03-02 13:00:00,702.04,703.53,697.79,699.65,11031.69,700.664,5389
40,2021-03-02 14:00:00,699.5,700.75,690.37,695.0,17348.03,694.443,7670
41,2021-03-02 15:00:00,695.03,695.36,685.0,686.22,17062.72,688.838,9200
42,2021-03-03 09:30:00,687.38,700.7,683.35,691.09,23495.11,691.792,11462
43,2021-03-03 10:00:00,690.98,692.99,673.39,688.74,35172.21,682.277,17248
44,2021-03-03 11:00:00,688.83,694.7,682.29,682.5,22084.0,689.223,10446
45,2021-03-03 12:00:00,682.3,684.36,676.66,677.13,11486.97,681.191,5711
46,2021-03-03 13:00:00,676.96,683.27,669.19,671.49,13668.24,676.573,6475
47,2021-03-03 14:00:00,671.6,672.75,662.1,668.49,24289.94,667.432,12523
48,2021-03-03 15:00:00,668.5,668.5,651.7,652.41,30221.0,658.046,16713
49,2021-03-04 09:30:00,655.38,668.45,638.0,639.32,36829.9,652.385,17566
50,2021-03-04 10:00:00,639.48,654.63,617.01,651.52,82138.46,635.046,41714
51,2021-03-04 11:00:00,651.9,654.9,635.02,635.75,38265.91,644.111,16659
52,2021-03-04 12:00:00,635.77,639.2,606.67,611.09,60080.56,622.493,26460
53,2021-03-04 13:00:00,611.15,619.06,601.1,601.54,70813.95,610.855,30357
54,2021-03-04 14:00:00,601.35,623.9,600.0,621.91,61229.76,611.413,29256
55,2021-03-04 15:00:00,621.66,626.31,611.18,621.49,36847.45,618.266,20205
56,2021-03-05 09:30:00,625.86,627.85,581.33,590.79,73629.32,602.708,33986
57,2021-03-05 10:00:00,590.59,596.65,570.0,575.27,112721.45,582.073,54775
58,2021-03-05 11:00:00,575.38,577.55,539.49,568.85,119741.25,559.328,54803
59,2021-03-05 12:00:00,568.61,597.94,557.85,589.51,84632.56,579.31,38085
60,2021-03-05 13:00:00,589.51,606.11,579.0,597.42,56889.55,593.518,27426
61,2021-03-05 14:00:00,597.12,603.98,582.46,601.67,43440.67,594.078,19906
62,2021-03-05 15:00:00,601.55,604.71,592.77,597.5,43748.47,598.82,21746
63,2021-03-08 09:30:00,600.87,620.13,584.01,596.23,68244.54,602.467,28600
64,2021-03-08 10:00:00,596.62,612.9,590.0,603.52,58693.15,603.638,26929
65,2021-03-08 11:00:00,603.5,606.3,579.51,581.79,40292.58,590.547,18517
66,2021-03-08 12:00:00,581.6,594.64,580.0,583.95,28242.28,587.555,13237
67,2021-03-08 13:00:00,583.92,587.55,568.08,570.19,30129.77,578.439,14417
68,2021-03-08 14:00:00,570.03,580.0,565.0,573.0,35235.62,573.126,16105
69,2021-03-08 15:00:00,572.49,572.73,558.79,562.97,52114.58,565.445,26892
70,2021-03-09 09:30:00,608.18,614.5,595.21,612.51,56325.57,604.905,24709
71,2021-03-09 10:00:00,612.58,634.77,608.33,630.28,68192.46,623.479,32631
72,2021-03-09 11:00:00,630.42,648.0,628.25,641.81,51304.6,639.208,26031
73,2021-03-09 12:00:00,642.1,654.68,640.06,653.99,34615.71,647.453,17219
74,2021-03-09 13:00:00,654.0,678.09,653.98,674.12,78874.12,669.498,39008
75,2021-03-09 14:00:00,674.12,676.0,657.4,666.01,55058.36,665.69,26950
76,2021-03-09 15:00:00,665.87,675.23,663.49,673.58,48946.59,670.333,26813
77,2021-03-10 09:30:00,700.25,717.85,691.54,702.78,80603.77,704.771,39024
78,2021-03-10 10:00:00,702.77,704.77,670.0,685.84,86414.4,687.14,37166
79,2021-03-10 11:00:00,685.78,692.99,675.3,681.75,43856.42,683.928,18618
80,2021-03-10 12:00:00,682.4,683.58,655.82,674.43,44519.54,671.356,20235
81,2021-03-10 13:00:00,674.45,674.97,658.12,662.29,35899.19,666.44,16355
82,2021-03-10 14:00:00,662.29,682.72,659.81,681.43,36872.41,673.554,15803
83,2021-03-10 15:00:00,681.05,683.99,664.64,668.27,31386.86,672.266,14580
84,2021-03-11 09:30:00,699.4,700.0,684.0,690.63,37937.17,692.293,18286
85,2021-03-11 10:00:00,690.63,693.9,677.18,686.75,39690.19,685.015,19425
86,2021-03-11 11:00:00,686.91,697.35,686.75,688.44,36525.86,692.799,17302
87,2021-03-11 12:00:00,688.65,693.25,685.21,690.04,17996.29,690.133,7968
88,2021-03-11 13:00:00,690.2,699.5,688.9,691.63,24492.05,694.13,11515
89,2021-03-11 14:00:00,691.64,695.52,690.14,691.67,15375.16,693.344,6625
90,2021-03-11 15:00:00,691.52,702.5,690.0,699.6,33817.63,697.97,16524
