,date
0,2023-01-24
1,2022-10-18
2,2022-07-20
3,2022-04-20
4,2022-01-26
5,2021-10-20
6,2021-07-26
7,2021-04-26
8,2021-01-27
9,2020-10-21
10,2020-07-22
11,2020-04-29
12,2020-01-29
13,2019-10-23
14,2019-07-24
15,2019-04-24
16,2019-01-30
17,2018-10-24
18,2018-08-01
19,2018-05-02
20,2018-02-07
21,2017-11-01
22,2017-08-02
23,2017-05-03
24,2017-02-22
25,2016-10-26
26,2016-08-03
27,2016-05-04
28,2016-02-10
29,2015-11-03
30,2015-08-05
31,2015-05-06
32,2015-02-11
33,2014-11-05
34,2014-07-31
35,2014-05-07
36,2014-02-19
37,2013-11-05
38,2013-08-07
39,2013-05-08
40,2013-02-20
41,2012-11-05
42,2012-07-25
43,2012-05-09
44,2012-02-15
45,2011-11-02
46,2011-08-03
47,2011-05-04
48,2011-02-15
49,2010-11-09
