,exp,k
0,20220812,250.0
1,20220812,300.0
2,20220812,350.0
3,20220812,400.0
4,20220812,420.0
5,20220812,440.0
6,20220812,450.0
7,20220812,460.0
8,20220812,470.0
9,20220812,480.0
10,20220812,490.0
11,20220812,500.0
12,20220812,510.0
13,20220812,520.0
14,20220812,530.0
15,20220812,540.0
16,20220812,550.0
17,20220812,560.0
18,20220812,570.0
19,20220812,575.0
20,20220812,580.0
21,20220812,590.0
22,20220812,600.0
23,20220812,605.0
24,20220812,610.0
25,20220812,615.0
26,20220812,620.0
27,20220812,625.0
28,20220812,630.0
29,20220812,635.0
30,20220812,640.0
31,20220812,645.0
32,20220812,650.0
33,20220812,655.0
34,20220812,660.0
35,20220812,665.0
36,20220812,670.0
37,20220812,675.0
38,20220812,680.0
39,20220812,685.0
40,20220812,690.0
41,20220812,695.0
42,20220812,700.0
43,20220812,705.0
44,20220812,710.0
45,20220812,715.0
46,20220812,720.0
47,20220812,725.0
48,20220812,730.0
49,20220812,735.0
50,20220812,740.0
51,20220812,745.0
52,20220812,750.0
53,20220812,755.0
54,20220812,760.0
55,20220812,765.0
56,20220812,770.0
57,20220812,775.0
58,20220812,780.0
59,20220812,785.0
60,20220812,790.0
61,20220812,795.0
62,20220812,800.0
63,20220812,802.5
64,20220812,805.0
65,20220812,807.5
66,20220812,810.0
67,20220812,812.5
68,20220812,815.0
69,20220812,817.5
70,20220812,820.0
71,20220812,822.5
72,20220812,825.0
73,20220812,830.0
74,20220812,835.0
75,20220812,840.0
76,20220812,845.0
77,20220812,850.0
78,20220812,855.0
79,20220812,860.0
80,20220812,865.0
81,20220812,870.0
82,20220812,875.0
83,20220812,880.0
84,20220812,885.0
85,20220812,890.0
86,20220812,895.0
87,20220812,900.0
88,20220812,905.0
89,20220812,910.0
90,20220812,912.5
91,20220812,915.0
92,20220812,917.5
93,20220812,920.0
94,20220812,922.5
95,20220812,925.0
96,20220812,927.5
97,20220812,930.0
98,20220812,932.5
99,20220812,935.0
100,20220812,937.5
101,20220812,940.0
102,20220812,945.0
103,20220812,950.0
104,20220812,955.0
105,20220812,960.0
106,20220812,965.0
107,20220812,970.0
108,20220812,975.0
109,20220812,980.0
110,20220812,985.0
111,20220812,990.0
112,20220812,995.0
113,20220812,1000.0
114,20220812,1010.0
115,20220812,1020.0
116,20220812,1025.0
117,20220812,1030.0
118,20220812,1040.0
119,20220812,1050.0
120,20220812,1060.0
121,20220812,1075.0
122,20220812,1080.0
123,20220812,1100.0
124,20220812,1120.0
125,20220812,1125.0
126,20220812,1140.0
127,20220812,1150.0
128,20220812,1160.0
129,20220812,1175.0
130,20220812,1180.0
131,20220812,1200.0
132,20220812,1220.0
133,20220812,1240.0
134,20220812,1250.0
135,20220812,1260.0
136,20220812,1275.0
137,20220812,1300.0
138,20220812,1325.0
139,20220812,1350.0
140,20220812,1375.0
141,20220812,1400.0
142,20220812,1425.0
143,20220812,1450.0
144,20220812,1475.0
145,20220812,1500.0
146,20220812,1525.0
147,20220812,1550.0
148,20220812,1575.0
149,20220812,1600.0
150,20220812,1625.0
151,20220812,1650.0
152,20220812,1675.0
153,20220812,1700.0
154,20220812,1725.0
155,20220812,1750.0
156,20220812,1800.0
157,20220819,50.0
158,20220819,100.0
159,20220819,150.0
160,20220819,200.0
161,20220819,250.0
162,20220819,300.0
163,20220819,340.0
164,20220819,350.0
165,20220819,360.0
166,20220819,370.0
167,20220819,380.0
168,20220819,390.0
169,20220819,400.0
170,20220819,410.0
171,20220819,420.0
172,20220819,430.0
173,20220819,440.0
174,20220819,450.0
175,20220819,460.0
176,20220819,470.0
177,20220819,480.0
178,20220819,490.0
179,20220819,500.0
180,20220819,505.0
181,20220819,510.0
182,20220819,515.0
183,20220819,520.0
184,20220819,525.0
185,20220819,530.0
186,20220819,535.0
187,20220819,540.0
188,20220819,545.0
189,20220819,550.0
190,20220819,555.0
191,20220819,560.0
192,20220819,565.0
193,20220819,570.0
194,20220819,575.0
195,20220819,580.0
196,20220819,585.0
197,20220819,590.0
198,20220819,595.0
199,20220819,600.0
200,20220819,605.0
201,20220819,610.0
202,20220819,615.0
203,20220819,620.0
204,20220819,625.0
205,20220819,630.0
206,20220819,635.0
207,20220819,640.0
208,20220819,645.0
209,20220819,650.0
210,20220819,655.0
211,20220819,660.0
212,20220819,665.0
213,20220819,670.0
214,20220819,675.0
215,20220819,680.0
216,20220819,685.0
217,20220819,690.0
218,20220819,692.5
219,20220819,695.0
220,20220819,697.5
221,20220819,700.0
222,20220819,705.0
223,20220819,710.0
224,20220819,712.5
225,20220819,715.0
226,20220819,717.5
227,20220819,720.0
228,20220819,722.5
229,20220819,725.0
230,20220819,727.5
231,20220819,730.0
232,20220819,732.5
233,20220819,735.0
234,20220819,740.0
235,20220819,745.0
236,20220819,750.0
237,20220819,755.0
238,20220819,760.0
239,20220819,765.0
240,20220819,770.0
241,20220819,775.0
242,20220819,780.0
243,20220819,785.0
244,20220819,790.0
245,20220819,795.0
246,20220819,800.0
247,20220819,805.0
248,20220819,810.0
249,20220819,815.0
250,20220819,820.0
251,20220819,825.0
252,20220819,830.0
253,20220819,835.0
254,20220819,840.0
255,20220819,845.0
256,20220819,850.0
257,20220819,855.0
258,20220819,860.0
259,20220819,865.0
260,20220819,870.0
261,20220819,875.0
262,20220819,880.0
263,20220819,885.0
264,20220819,890.0
265,20220819,895.0
266,20220819,900.0
267,20220819,905.0
268,20220819,910.0
269,20220819,912.5
270,20220819,915.0
271,20220819,917.5
272,20220819,920.0
273,20220819,922.5
274,20220819,925.0
275,20220819,930.0
276,20220819,935.0
277,20220819,940.0
278,20220819,945.0
279,20220819,950.0
280,20220819,955.0
281,20220819,960.0
282,20220819,965.0
283,20220819,970.0
284,20220819,975.0
285,20220819,980.0
286,20220819,985.0
287,20220819,990.0
288,20220819,995.0
289,20220819,1000.0
290,20220819,1010.0
291,20220819,1020.0
292,20220819,1025.0
293,20220819,1030.0
294,20220819,1040.0
295,20220819,1050.0
296,20220819,1060.0
297,20220819,1075.0
298,20220819,1080.0
299,20220819,1100.0
300,20220819,1120.0
301,20220819,1125.0
302,20220819,1140.0
303,20220819,1150.0
304,20220819,1160.0
305,20220819,1175.0
306,20220819,1180.0
307,20220819,1200.0
308,20220819,1250.0
309,20220819,1300.0
310,20220819,1350.0
311,20220819,1400.0
312,20220819,1425.0
313,20220819,1450.0
314,20220819,1475.0
315,20220819,1500.0
316,20220819,1525.0
317,20220819,1550.0
318,20220819,1575.0
319,20220819,1600.0
320,20220819,1625.0
321,20220819,1650.0
322,20220819,1675.0
323,20220819,1700.0
324,20220819,1725.0
325,20220819,1750.0
326,20220819,1800.0
327,20220819,1850.0
328,20220819,1900.0
329,20220819,1950.0
330,20220819,2000.0
331,20220819,2050.0
332,20220819,2100.0
333,20220819,2150.0
334,20220819,2200.0
335,20220819,2250.0
336,20220819,2300.0
337,20220819,2350.0
338,20220819,2400.0
339,20220826,250.0
340,20220826,300.0
341,20220826,350.0
342,20220826,400.0
343,20220826,420.0
344,20220826,440.0
345,20220826,450.0
346,20220826,460.0
347,20220826,470.0
348,20220826,480.0
349,20220826,490.0
350,20220826,500.0
351,20220826,510.0
352,20220826,520.0
353,20220826,530.0
354,20220826,540.0
355,20220826,550.0
356,20220826,560.0
357,20220826,570.0
358,20220826,575.0
359,20220826,580.0
360,20220826,590.0
361,20220826,600.0
362,20220826,605.0
363,20220826,610.0
364,20220826,615.0
365,20220826,620.0
366,20220826,625.0
367,20220826,630.0
368,20220826,635.0
369,20220826,640.0
370,20220826,645.0
371,20220826,650.0
372,20220826,655.0
373,20220826,660.0
374,20220826,665.0
375,20220826,670.0
376,20220826,675.0
377,20220826,680.0
378,20220826,685.0
379,20220826,690.0
380,20220826,695.0
381,20220826,700.0
382,20220826,705.0
383,20220826,710.0
384,20220826,715.0
385,20220826,720.0
386,20220826,725.0
387,20220826,730.0
388,20220826,735.0
389,20220826,740.0
390,20220826,745.0
391,20220826,750.0
392,20220826,755.0
393,20220826,760.0
394,20220826,765.0
395,20220826,770.0
396,20220826,775.0
397,20220826,780.0
398,20220826,785.0
399,20220826,790.0
400,20220826,795.0
401,20220826,800.0
402,20220826,805.0
403,20220826,810.0
404,20220826,815.0
405,20220826,820.0
406,20220826,825.0
407,20220826,830.0
408,20220826,835.0
409,20220826,840.0
410,20220826,845.0
411,20220826,850.0
412,20220826,855.0
413,20220826,860.0
414,20220826,865.0
415,20220826,867.5
416,20220826,870.0
417,20220826,872.5
418,20220826,875.0
419,20220826,877.5
420,20220826,880.0
421,20220826,882.5
422,20220826,885.0
423,20220826,887.5
424,20220826,890.0
425,20220826,895.0
426,20220826,900.0
427,20220826,905.0
428,20220826,910.0
429,20220826,912.5
430,20220826,915.0
431,20220826,917.5
432,20220826,920.0
433,20220826,922.5
434,20220826,925.0
435,20220826,930.0
436,20220826,935.0
437,20220826,940.0
438,20220826,945.0
439,20220826,950.0
440,20220826,955.0
441,20220826,960.0
442,20220826,965.0
443,20220826,970.0
444,20220826,975.0
445,20220826,980.0
446,20220826,985.0
447,20220826,990.0
448,20220826,995.0
449,20220826,1000.0
450,20220826,1020.0
451,20220826,1025.0
452,20220826,1040.0
453,20220826,1050.0
454,20220826,1060.0
455,20220826,1075.0
456,20220826,1080.0
457,20220826,1100.0
458,20220826,1120.0
459,20220826,1125.0
460,20220826,1140.0
461,20220826,1150.0
462,20220826,1160.0
463,20220826,1175.0
464,20220826,1180.0
465,20220826,1200.0
466,20220826,1220.0
467,20220826,1225.0
468,20220826,1240.0
469,20220826,1250.0
470,20220826,1260.0
471,20220826,1275.0
472,20220826,1300.0
473,20220826,1325.0
474,20220826,1350.0
475,20220826,1375.0
476,20220826,1400.0
477,20220826,1425.0
478,20220826,1450.0
479,20220826,1475.0
480,20220826,1500.0
481,20220826,1525.0
482,20220826,1550.0
483,20220826,1575.0
484,20220826,1600.0
485,20220826,1625.0
486,20220826,1650.0
487,20220826,1675.0
488,20220826,1700.0
489,20220826,1725.0
490,20220826,1750.0
491,20220826,1800.0
492,20220902,250.0
493,20220902,300.0
494,20220902,350.0
495,20220902,400.0
496,20220902,420.0
497,20220902,440.0
498,20220902,450.0
499,20220902,460.0
500,20220902,470.0
501,20220902,480.0
502,20220902,490.0
503,20220902,500.0
504,20220902,510.0
505,20220902,520.0
506,20220902,530.0
507,20220902,540.0
508,20220902,550.0
509,20220902,560.0
510,20220902,570.0
511,20220902,575.0
512,20220902,580.0
513,20220902,590.0
514,20220902,600.0
515,20220902,605.0
516,20220902,610.0
517,20220902,615.0
518,20220902,620.0
519,20220902,625.0
520,20220902,630.0
521,20220902,635.0
522,20220902,640.0
523,20220902,645.0
524,20220902,650.0
525,20220902,655.0
526,20220902,660.0
527,20220902,665.0
528,20220902,670.0
529,20220902,675.0
530,20220902,680.0
531,20220902,685.0
532,20220902,690.0
533,20220902,695.0
534,20220902,700.0
535,20220902,705.0
536,20220902,710.0
537,20220902,715.0
538,20220902,720.0
539,20220902,725.0
540,20220902,730.0
541,20220902,735.0
542,20220902,740.0
543,20220902,745.0
544,20220902,750.0
545,20220902,755.0
546,20220902,760.0
547,20220902,765.0
548,20220902,770.0
549,20220902,775.0
550,20220902,780.0
551,20220902,785.0
552,20220902,790.0
553,20220902,795.0
554,20220902,800.0
555,20220902,805.0
556,20220902,810.0
557,20220902,815.0
558,20220902,820.0
559,20220902,825.0
560,20220902,830.0
561,20220902,835.0
562,20220902,840.0
563,20220902,845.0
564,20220902,850.0
565,20220902,855.0
566,20220902,860.0
567,20220902,865.0
568,20220902,870.0
569,20220902,875.0
570,20220902,880.0
571,20220902,885.0
572,20220902,890.0
573,20220902,895.0
574,20220902,900.0
575,20220902,905.0
576,20220902,910.0
577,20220902,915.0
578,20220902,920.0
579,20220902,925.0
580,20220902,930.0
581,20220902,935.0
582,20220902,940.0
583,20220902,945.0
584,20220902,950.0
585,20220902,955.0
586,20220902,960.0
587,20220902,965.0
588,20220902,970.0
589,20220902,975.0
590,20220902,980.0
591,20220902,985.0
592,20220902,990.0
593,20220902,1000.0
594,20220902,1020.0
595,20220902,1025.0
596,20220902,1040.0
597,20220902,1050.0
598,20220902,1060.0
599,20220902,1075.0
600,20220902,1080.0
601,20220902,1100.0
602,20220902,1120.0
603,20220902,1125.0
604,20220902,1140.0
605,20220902,1150.0
606,20220902,1160.0
607,20220902,1175.0
608,20220902,1180.0
609,20220902,1200.0
610,20220902,1220.0
611,20220902,1225.0
612,20220902,1240.0
613,20220902,1250.0
614,20220902,1260.0
615,20220902,1275.0
616,20220902,1300.0
617,20220902,1325.0
618,20220902,1350.0
619,20220902,1375.0
620,20220902,1400.0
621,20220902,1425.0
622,20220902,1450.0
623,20220902,1475.0
624,20220902,1500.0
625,20220902,1525.0
626,20220902,1550.0
627,20220902,1575.0
628,20220902,1600.0
629,20220902,1625.0
630,20220902,1650.0
631,20220902,1675.0
632,20220902,1700.0
633,20220902,1725.0
634,20220902,1750.0
635,20220902,1800.0
636,20220909,250.0
637,20220909,300.0
638,20220909,350.0
639,20220909,400.0
640,20220909,420.0
641,20220909,440.0
642,20220909,450.0
643,20220909,460.0
644,20220909,480.0
645,20220909,500.0
646,20220909,520.0
647,20220909,540.0
648,20220909,550.0
